"","name","address","lat","lon","zip","type"
"511","Lion Theatre","410 W 42nd St",40.758456,-73.99342997,10036,"art"
"521","Longacre Theatre","220 W 48th St",40.76035023,-73.98597263,10036,"art"
"531","Lucille Lortel Theatre","121 Christopher St",40.73335633,-74.00574435,10014,"art"
"541","Lunt-Fontanne Theatre","205 W 46th St",40.75918096,-73.98591873,10036,"art"
"551","Lyceum Theatre","149 W 45th St",40.75777478,-73.98452951,10036,"art"
"561","Majestic Theatre","245 W 44th St",40.75841267,-73.98801247,10036,"art"
"571","Manhattan Ensemble Theatre","55 Mercer St",40.72198769,-74.00120856,10013,"art"
"581","Manhattan Theatre Source","177 MacDougal St",40.73282809,-73.99840463,10011,"art"
"591","Marquis Theatre","1535 Broadway",40.75851161,-73.98589651,10036,"art"
"601","Mazer Theatre","197 E Broadway",40.71398064,-73.98835232,10002,"art"
"611","McGinn Cazale Theater","2162 Broadway",40.7818073,-73.98055521,10024,"art"
"621","Metropolitan Playhouse","220 E 4th St",40.72349765,-73.98366128,10009,"art"
"631","Michael Schimmel Center for the Arts at Pace University","3 Spruce Street",40.7113565,-74.00509728,10038,"art"
"641","Miller Theatre at Columbia University","2960 Broadway",40.80758671,-73.96346046,10027,"art"
"651","Minskoff Theatre","1515 Broadway",40.75792334,-73.98605419,10036,"art"
"661","Music Box Theatre","239 W 45th St",40.75888741,-73.98714246,10036,"art"
"671","Nederlander Theater","208 W 41st St",40.7554868,-73.98830897,10036,"art"
"681","Neil Simon Theatre","250 W 52nd St",40.76301793,-73.98452812,10019,"art"
"691","New Amsterdam Theater","214 W 42nd St",40.75612047,-73.98776301,10036,"art"
"70","New Victory Theatre","209 West 42nd Street",40.75655716,-73.98746416,10036,"art"
"711","New World Stages","340 West 50th Street",40.76237396,-73.98786703,10019,"art"
"721","Next Stage Theater","312 West 11th Street",40.73562147,-74.00658864,10014,"art"
"731","Nokia Theatre Times Square","1515 Broadway",40.75767817,-73.98621794,10036,"art"
"741","Ohio Theatre","66 Wooster Street",40.72327984,-74.00161141,10012,"art"
"751","Ontological Hysteric Theater","260 W Broadway",40.72054656,-74.00567109,10013,"art"
"761","Orpheum Theater","1538 3rd Ave",40.77945538,-73.95400943,10028,"art"
"771","P.S.122 Performance Space","150 1st Ave",40.72821812,-73.98453728,10003,"art"
"781","Palace Theatre","1564 Broadway",40.75888993,-73.98447032,10036,"art"
"791","Pearl Theatre","80 Saint Marks Pl",40.72755902,-73.98579978,10003,"art"
"801","People's Improv Theater","154 W 29th St",40.74736718,-73.99228995,10001,"art"
"811","Playwrights Horizons Theater School","440 Lafayette St",40.72948863,-73.992221,10003,"art"
"831","Rattlestick Theater","224 Waverly Pl",40.73617407,-74.0020365,10014,"art"
"84","Richard Rodgers Theatre","226 W 46th Street",40.75903833,-73.98674176,10036,"art"
"85","Samuel J. Friedman Theatre (formerly the Biltmore)","261 W 47th St",40.76037502,-73.9867451,10036,"art"
"86","Second Stage Theater","307 W 43rd St",40.75823991,-73.98973789,10036,"art"
"87","Shubert Theatre","225 W 44th St",40.75813761,-73.98723931,10036,"art"
"88","Snapple Theater Center","1627 Broadway",40.76141062,-73.98442892,10019,"art"
"89","SoHo Playhouse","15 Vandam St",40.72653568,-74.00436194,10013,"art"
"90","SoHo Repertory Theatre","86 Franklin St",40.71823002,-74.00472935,10013,"art"
"91","St. James Theatre","246 W 44th St",40.75799823,-73.98816054,10036,"art"
"92","Studio 54 Theatre","254 W 54th Street",40.76435408,-73.98377096,10019,"art"
"93","Swedish Cottage Marionette Theater","West Side at 79th Street",40.7799663,-73.97037578,10025,"art"
"94","Tenement Theatre","97 Orchard Street",40.7185481,-73.99027791,10002,"art"
"95","The Beckett Theatre","410 W 42 St",40.75868461,-73.99374147,10036,"art"
"96","The Cherry Pit","155 Bank St",40.7364581,-74.0090218,10014,"art"
"97","The Little Shubert theatre","422 West 42nd Street",40.75855311,-73.99391779,10036,"art"
"98","The Public Theater","425 Lafayette St",40.7289234,-73.99177372,10003,"art"
"100","The Upright Citizens Brigade Theatre","307 W 26th Street",40.74765359,-73.99738741,10001,"art"
"101","The Walter Reade Theater at Lincoln Center","70 Lincoln Center Plaza",40.77410217,-73.98424387,10023,"art"
"102","The Zipper Theater","336 W 37th St",40.75467479,-73.99403364,10018,"art"
"103","Theater For The New City","155 1st Avenue",40.72869278,-73.98498035,10003,"art"
"104","Theatre @ St. Clement's","423 West 46th Street",40.76156669,-73.99157115,10036,"art"
"105","Theatre 80 St Marks","80 Saint Marks Pl",40.72762097,-73.98575179,10003,"art"
"106","Theatre Row","410 W 42nd Street",40.75872837,-73.99389624,10036,"art"
"107","Under St. Marks","94 St. Marks Place",40.72728975,-73.98496483,10009,"art"
"108","Union Square Theater","100 E 17th St",40.73624066,-73.98874897,10003,"art"
"109","Village Theater","158 Bleecker St",40.7284551,-74.00022351,10012,"art"
"110","Vineyard Theatre","108 E 15th St",40.73469974,-73.98918918,10003,"art"
"111","Walkerspace Theater","46 Walker Street",40.7193115,-74.0035137,10013,"art"
"112","Wamu Theater (formerly Theater At Madison Square Garden)","4 Penn Plaza",40.75049725,-73.99339519,10001,"art"
"113","Westside Theater","407 W 43rd St",40.75952742,-73.99255324,10036,"art"
"114","Wings Theatre","154 Christopher St",40.73239904,-74.00889257,10014,"art"
"115","Winter Garden Theatre","1634 Broadway",40.76152465,-73.98348163,10019,"art"
"116","York Theatre","619 Lexington Ave",40.75835723,-73.96997886,10022,"art"
