"","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"23",23,"BAR VIRAGE","118","2 AVENUE",10003,"American","118, 2 AVENUE, New York, NY",NA,NA
"24",24,"PHILLIP MARIE","569","HUDSON STREET",10014,"American","569, HUDSON STREET, New York, NY",NA,NA
"25",25,"YIP'S RESTAURANT/JUICE VITALITY","18","BEAVER STREET",10004,"Asian","18, BEAVER STREET, New York, NY",NA,NA
"26",26,"RESERVE CUT","40","BROAD ST",10004,"Jewish/Kosher","40, BROAD ST, New York, NY",-74.0117654,40.7060275
"27",27,"SANTINA","820","WASHINGTON ST",10014,"Armenian","820, WASHINGTON ST, New York, NY",-74.008443,40.7396079
"28",28,"UMAMI BURGER","432","AVENUE OF THE AMERICAS",10011,"Hamburgers","432, AVENUE OF THE AMERICAS, New York, NY",-73.9985898,40.7343992
"29",29,"MIDO","612","AMSTERDAM AVE",10024,"Asian","612, AMSTERDAM AVE, New York, NY",-73.9735756,40.7901213
"30",30,"CHICK'NCONE","1000 S","8TH AVE",10019,"Other","1000 S, 8TH AVE, New York, NY",-73.9833642,40.7686743
"31",31,"LE PAIN QUOTIDIEN","550","HUDSON STREET",10014,"Sandwiches","550, HUDSON STREET, New York, NY",NA,NA
"32",32,"CARBONE","331","W 38TH ST",10018,"Italian","331, W 38TH ST, New York, NY",-73.9930347,40.7554213
"33",33,"RED STAR","2060","ACP JR BLVD",10027,"Chinese","2060, ACP JR BLVD, New York, NY",NA,NA
"34",34,"PARMA RESTAURANT","1404","3 AVENUE",10075,"Italian","1404, 3 AVENUE, New York, NY",-73.9571291,40.7749003
"35",35,"LUCKY DELI","12","EAST   37 STREET",10016,"Delicatessen","12, EAST   37 STREET, New York, NY",-73.9823124,40.7497951
"36",36,"BOWERY ELECTRIC","327","BOWERY",10003,"American","327, BOWERY, New York, NY",-73.9916803,40.7257162
"37",37,"JADE GARDEN","4028","BROADWAY",10032,"Chinese","4028, BROADWAY, New York, NY",-73.9389251,40.8418106
"38",38,"TWO DOORS TAVERN","1576","3 AVENUE",10128,"American","1576, 3 AVENUE, New York, NY",-73.9529963,40.7805616
"39",39,"2 BROS PIZZA/JUICE SHOP","113","E 125TH ST",10035,"Pizza","113, E 125TH ST, New York, NY",NA,NA
"40",40,"ROTH BAR","548","W 22ND ST",10011,"American","548, W 22ND ST, New York, NY",-74.007014,40.747812
"41",41,"ZINC","82","WEST    3 STREET",10012,"American","82, WEST    3 STREET, New York, NY",-73.9989571,40.7297021
"42",42,"THE CONFESSION BOX","304","EAST   78 STREET",10075,"American","304, EAST   78 STREET, New York, NY",-73.9552349,40.7723066
"43",43,"PANCA","92","7 AVENUE SOUTH",10014,"Peruvian","92, 7 AVENUE SOUTH, New York, NY",-74.0035291,40.7328667
"44",44,"WU LIANG YE RESTAURANT","36","WEST   48 STREET",10036,"Chinese","36, WEST   48 STREET, New York, NY",NA,NA
"45",45,"169 BAR","169","EAST BROADWAY",10002,"American","169, EAST BROADWAY, New York, NY",NA,NA
"46",46,"BURGER HEAVEN","9","E 53RD ST",10022,"American","9, E 53RD ST, New York, NY",-73.9749106,40.7602871
"47",47,"PINOCCHIO RISTORANTE","1748","1 AVENUE",10128,"Italian","1748, 1 AVENUE, New York, NY",-73.9469807,40.7796671
"48",48,"BENGAL TIGER INDIAN FOOD","58","WEST 56TH STREET",10019,"Indian","58, WEST 56TH STREET, New York, NY",NA,NA
"49",49,"HEARTLAND BREWERY","127","WEST   43 STREET",10036,"American","127, WEST   43 STREET, New York, NY",-73.984564,40.7561682
"50",50,"TARTINE","253","WEST   11 STREET",10014,"English","253, WEST   11 STREET, New York, NY",-74.0034562,40.7363632
"51",51,"ROCKWOOD MUSIC HALL (STAGE ZERO)","196","ALLEN STREET",10002,"American","196, ALLEN STREET, New York, NY",-73.9885967,40.7223016
"52",52,"LITTLE ITALY PIZZA III","122","UNIVERSITY PLACE",10003,"Pizza/Italian","122, UNIVERSITY PLACE, New York, NY",-73.9924003,40.7347673
"53",53,"ROUGE TOMATE","126","W 18TH ST",10011,"French","126, W 18TH ST, New York, NY",-73.9962661,40.7402203
"54",54,"FORTY CARROTS","1000","3 AVENUE",10022,"American","1000, 3 AVENUE, New York, NY",NA,NA
"55",55,"IL SALUMAIO","1731","2ND AVE",10128,"Italian","1731, 2ND AVE, New York, NY",NA,NA
"56",56,"PERK KAFE","1867","2ND AVE",10029,"Caf̩/Coffee/Tea","1867, 2ND AVE, New York, NY",-73.9472343,40.7845962
"57",57,"WO HOP 17","17","MOTT STREET",10013,"Chinese","17, MOTT STREET, New York, NY",-73.9989227,40.7142792
"58",58,"KFC","2755","BROADWAY",10025,"American","2755, BROADWAY, New York, NY",-73.9682766,40.8013318
"59",59,"ROSEMARY'S","1820","GREENWICH AVENUE",10011,"Italian","1820, GREENWICH AVENUE, New York, NY",NA,NA
"60",60,"PAKU PAKUS","1393B","2ND AVE",10021,"Japanese","1393B, 2ND AVE, New York, NY",NA,NA
"61",61,"CHERRY TAVERN","441","EAST    6 STREET",10009,"American","441, EAST    6 STREET, New York, NY",NA,NA
"62",62,"HOTEL PIERRE-MAIN KITCHEN","2","EAST   61 STREET",10065,"American","2, EAST   61 STREET, New York, NY",-73.9720398,40.7651281
"63",63,"GILA'S NOSH","221","EAST   23 STREET",10010,"Mediterranean","221, EAST   23 STREET, New York, NY",-73.9818912,40.7386754
"64",64,"CAFE KATJA","79","ORCHARD STREET",10002,"Eastern European","79, ORCHARD STREET, New York, NY",NA,NA
"65",65,"MADE IN MEXICO","3950","10TH AVE",10034,"Mexican","3950, 10TH AVE, New York, NY",NA,NA
"66",66,"MULBERRY PROJECT","149","MULBERRY STREET",10013,"American","149, MULBERRY STREET, New York, NY",-73.9977161,40.7190315
"67",67,"CAFE B'WAY 46","146","W 46TH ST",10036,"American","146, W 46TH ST, New York, NY",-73.9842082,40.7579798
"68",68,"EUREST DINING SERVICE (American Express)","200","VESEY STREET",10285,"American","200, VESEY STREET, New York, NY",NA,NA
"69",69,"BABBO RISTORANTE E ENOTECA","110","WAVERLY PLACE",10011,"Italian","110, WAVERLY PLACE, New York, NY",-73.9992785,40.732296
"70",70,"BY CHLOE","185","BLEECKER ST",10012,"Vegetarian","185, BLEECKER ST, New York, NY",-74.0009312,40.7292484
"71",71,"MALA PROJECT","122","1ST AVE",10009,"Chinese","122, 1ST AVE, New York, NY",-73.985356,40.7271067
"72",72,"EL LINA RESTAURANT","500","WEST  207 STREET",10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","500, WEST  207 STREET, New York, NY",NA,NA
"73",73,"MAD HATTER SALOON","360","3 AVENUE",10016,"American","360, 3 AVENUE, New York, NY",-73.9818781,40.7409847
"74",74,"WHISPERS BAR AND RESTAURANT","210","W 94TH ST",10025,"American","210, W 94TH ST, New York, NY",NA,NA
"75",75,"TERRA BLUES","149","BLEEKER STREET",10012,"American","149, BLEEKER STREET, New York, NY",NA,NA
"76",76,"DELIGHT 28 RESTAURANT","2830","PELL STREET",10013,"Chinese","2830, PELL STREET, New York, NY",-73.998459,40.7150915
"77",77,"WINDFALL","23","WEST   39 STREET",10018,"American","23, WEST   39 STREET, New York, NY",-73.98384,40.7522407
"78",78,"IPANEMA BAR","252","WEST   14 STREET",10011,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","252, WEST   14 STREET, New York, NY",NA,NA
"79",79,"SAVOUR SICHUAN","108","W 39TH ST",10018,"Chinese","108, W 39TH ST, New York, NY",NA,NA
"80",80,"AU BON PAIN","1251","6 AVENUE",10020,"American","1251, 6 AVENUE, New York, NY",-73.9818092,40.7600994
"81",81,"UNO PIZZERIA AND GRILL","432","COLUMBUS AVENUE",10024,"Pizza/Italian","432, COLUMBUS AVENUE, New York, NY",-73.9749567,40.7833
"82",82,"SUBWAY","281","SAINT NICHOLAS AVE",10027,"Sandwiches","281, SAINT NICHOLAS AVE, New York, NY",NA,NA
"83",83,"BIRCH COFFEE","171","E 88TH ST",10128,"Caf̩/Coffee/Tea","171, E 88TH ST, New York, NY",-73.953324,40.7803792
"84",84,"SPEEDY'S DELI","1271","BROADWAY",10001,"American","1271, BROADWAY, New York, NY",-73.9884413,40.7482511
"85",85,"SNACKS-N-WHEELS/GREYHOUND FOOD SERVICE","625","8 AVENUE",10018,"American","625, 8 AVENUE, New York, NY",-73.9917688,40.7569045
"86",86,"O-MAI","158","9 AVENUE",10011,"Vietnamese/Cambodian/Malaysia","158, 9 AVENUE, New York, NY",-74.0026298,40.7443146
"87",87,"SUSHI NAKAZAWA","23","COMMERCE STREET",10014,"Japanese","23, COMMERCE STREET, New York, NY",-74.0044661,40.7317959
"88",88,"WHISKEY SOCIAL","35","WEST    8 STREET",10011,"American","35, WEST    8 STREET, New York, NY",-73.9980436,40.7331294
"89",89,"PRINT RESTAURANT/PRESS LOUNGE/BANQUET KITCHEN","653","11 AVENUE",10036,"American","653, 11 AVENUE, New York, NY",-73.99595,40.7645758
"90",90,"PIERRE LOTI CAFE WINE BAR","53","IRVING PLACE",10003,"Tapas","53, IRVING PLACE, New York, NY",-73.9875483,40.7360953
"91",91,"VILLAGE NATURAL","46","GREENWICH AVE",10011,"Vegetarian","46, GREENWICH AVE, New York, NY",-74.000252,40.7356228
"92",92,"GRAPE AND GRAIN","620","EAST    6 STREET",10009,"Caf̩/Coffee/Tea","620, EAST    6 STREET, New York, NY",-73.980822,40.7239629
"93",93,"EVELYN'S KITCHEN","2317","1 AVENUE",10035,"American","2317, 1 AVENUE, New York, NY",-73.9344551,40.7977934
"94",94,"BONSIGNOUR","35","JANE STREET",10014,"American","35, JANE STREET, New York, NY",-74.0043284,40.73834
"95",95,"AMC THEATRES","2309","FREDERICK DOUGLAS BOULEVARD",10027,"American","2309, FREDERICK DOUGLAS BOULEVARD, New York, NY",-73.9517817,40.8096863
"96",96,"MINAR INDIAN RESTAURANT","138","WEST   46 STREET",10036,"Indian","138, WEST   46 STREET, New York, NY",-73.9840245,40.7578765
"97",97,"THE CORNER CAFE","729","6TH AVE",10010,"Sandwiches/Salads/Mixed Buffet","729, 6TH AVE, New York, NY",NA,NA
"98",98,"MARTINIQUE CAFE","1260","BROADWAY",10001,"American","1260, BROADWAY, New York, NY",NA,NA
"99",99,"YUI GALLERY & TEA CAFFE","131","ELDRIDGE ST",10002,"Caf̩/Coffee/Tea","131, ELDRIDGE ST, New York, NY",-73.9917492,40.7189102
"100",100,"DROP OFF SERVICE","211","AVENUE A",10009,"American","211, AVENUE A, New York, NY",NA,NA
"101",101,"KLIMAT","77","EAST 7 STREET",10003,"Polish","77, EAST 7 STREET, New York, NY",NA,NA
"102",102,"THE BAILEY","52","WILLIAM STREET",10005,"American","52, WILLIAM STREET, New York, NY",-74.0089713,40.7067843
"103",103,"DON PEPIS DELICATESSEN","0","AMTRAK LEVEL",10001,"Delicatessen","0, AMTRAK LEVEL, New York, NY",NA,NA
"104",104,"JULES BISTRO","65","ST MARKS PLACE",10003,"French","65, ST MARKS PLACE, New York, NY",-73.9860561,40.728181
"105",105,"CROWN FRIED CHICKEN","117","AVENUE D",10009,"Chicken","117, AVENUE D, New York, NY",-73.9761377,40.7238559
"106",106,"LUIGIS GRILL PIZZA","936","8 AVENUE",10019,"Pizza/Italian","936, 8 AVENUE, New York, NY",NA,NA
"107",107,"HELL'S CHICKEN","641","10TH AVE",10036,"Chicken","641, 10TH AVE, New York, NY",NA,NA
"108",108,"JUMBO PIZZA","3594","BROADWAY",10031,"Italian","3594, BROADWAY, New York, NY",-73.948912,40.8280219
"109",109,"TARALLUCCI E VINO","15","EAST 18 STREET",10003,"Italian","15, EAST 18 STREET, New York, NY",NA,NA
"110",110,"KAJITSU","125","EAST   39 STREET",10016,"Japanese","125, EAST   39 STREET, New York, NY",-73.9776999,40.7498869
"111",111,"MOMOFUKU MILK BAR UWS","561","COLUMBUS AVENUE",10024,"Caf̩/Coffee/Tea","561, COLUMBUS AVENUE, New York, NY",-73.9714006,40.7871769
"112",112,"HOUSE OF LASAGNA/LA STANZA","334","LEXINGTON AVE",10016,"Italian","334, LEXINGTON AVE, New York, NY",NA,NA
"113",113,"SAKA GURA","211","EAST   43 STREET",10017,"Japanese","211, EAST   43 STREET, New York, NY",NA,NA
"114",114,"EASTEND BAR & GRILL","1664","1 AVENUE",10028,"American","1664, 1 AVENUE, New York, NY",-73.9487508,40.7772838
"115",115,"FORT WASHINGTON BAKERY AND DELI","808","WEST  181 STREET",10033,"Delicatessen","808, WEST  181 STREET, New York, NY",-73.9387032,40.8508873
"116",116,"STANTON SOCIAL","99","STANTON STREET",10002,"American","99, STANTON STREET, New York, NY",NA,NA
"117",117,"DAG'S THE PATIO","342","E 47TH ST",10017,"Caf̩/Coffee/Tea","342, E 47TH ST, New York, NY",-73.9686555,40.7520017
"118",118,"UPPER EAST CAFE","1048","3RD AVE",10065,"Seafood","1048, 3RD AVE, New York, NY",NA,NA
"119",119,"CHOP SHOP KITCHEN","41","W 24TH ST",10010,"Asian","41, W 24TH ST, New York, NY",-73.9911983,40.7432724
"120",120,"KOBEYAKI","293","7 AVENUE",10001,"Japanese","293, 7 AVENUE, New York, NY",-73.9937535,40.7462574
"121",121,"BLARNEY ROCK","137","WEST   33 STREET",10001,"Irish","137, WEST   33 STREET, New York, NY",-73.9898968,40.7500761
"122",122,"JUST SALAD","663","LEXINGTON AVE",10022,"Salads","663, LEXINGTON AVE, New York, NY",NA,NA
"123",123,"THE KATI ROLL COMPANY","229","EAST   53 STREET",10022,"Indian","229, EAST   53 STREET, New York, NY",-73.9681035,40.7573616
"124",124,"THE BITTER END","147","BLEECKER STREET",10012,"American","147, BLEECKER STREET, New York, NY",-73.9991763,40.728369
"125",125,"AMBER","381","3RD AVE",10016,"Asian","381, 3RD AVE, New York, NY",-73.9809254,40.741496
"126",126,"DALTON'S BAR & GRILL","611","9 AVENUE",10036,"American","611, 9 AVENUE, New York, NY",-73.9922542,40.75944
"127",127,"JOE'S SHANGHAI RESTAURANT","24","WEST   56 STREET",10019,"Chinese","24, WEST   56 STREET, New York, NY",-73.9759092,40.7627538
"128",128,"DEGREZIA","231","EAST   50 STREET",10022,"Italian","231, EAST   50 STREET, New York, NY",-73.9694351,40.7555054
"129",129,"VOGA LOUNGE & GRILL","300","AUDUBON AVE",10033,"Spanish","300, AUDUBON AVE, New York, NY",-73.9328223,40.8482229
"130",130,"FRANCISCO'S CENTRO VASCO","159","WEST   23 STREET",10011,"Spanish","159, WEST   23 STREET, New York, NY",-73.9949259,40.7438001
"131",131,"INDIKITCH","25","W 23RD ST",10010,"Indian","25, W 23RD ST, New York, NY",-73.9904449,40.742221
"132",132,"LUKE'S LOBSTER","426","AMSTERDAM AVENUE",10024,"Seafood","426, AMSTERDAM AVENUE, New York, NY",-73.977874,40.784224
"133",133,"FRESH SALT","146","BEEKMAN STREET",10038,"American","146, BEEKMAN STREET, New York, NY",NA,NA
"134",134,"DON PANCHITO RESTAURANT","2102","AMSTERDAM AVENUE",10032,"Mexican","2102, AMSTERDAM AVENUE, New York, NY",-73.9390361,40.8375606
"135",135,"MAMASUSHI","3569","BROADWAY",10031,"Asian","3569, BROADWAY, New York, NY",NA,NA
"136",136,"SAIGON VIETNAMESE SANDWICH","369","BROOME ST",10013,"Vietnamese/Cambodian/Malaysia","369, BROOME ST, New York, NY",-73.9958662,40.7199353
"137",137,"AKI SUSHI AND GRILL","720","2ND AVE",10016,"Chinese/Japanese","720, 2ND AVE, New York, NY",NA,NA
"138",138,"LA BROCHETTE STEAKHOUSE.","340","LEXINGTON AVE",10016,"Jewish/Kosher","340, LEXINGTON AVE, New York, NY",-73.9774244,40.7498478
"139",139,"LA PANINERIA","1","W 8TH ST",10011,"Italian","1, W 8TH ST, New York, NY",NA,NA
"140",140,"MAY WAH PORK CHOP FAST FOOD","190","HESTER ST",10013,"Chinese","190, HESTER ST, New York, NY",-73.9984521,40.7182002
"141",141,"STK","28","LITTLE WEST   12 STREET",10014,"American","28, LITTLE WEST   12 STREET, New York, NY",-74.0074731,40.7397702
"142",142,"CARAVAN OF DREAMS","405","EAST    6 STREET",10009,"Vegetarian","405, EAST    6 STREET, New York, NY",-73.9856544,40.7263961
"143",143,"SHILLA KOREAN BARBECUE HOUSE","37","WEST   32 STREET",10001,"Korean","37, WEST   32 STREET, New York, NY",NA,NA
"144",144,"OYSTER BAR","0","GRAND CENTRAL TERMINAL",10017,"Seafood","0, GRAND CENTRAL TERMINAL, New York, NY",-73.9772294,40.7527262
"145",145,"CHI DUMPLINGS & NOODLES","1","W 58TH ST",10019,"Chinese/Japanese","1, W 58TH ST, New York, NY",-73.9742747,40.7642202
"146",146,"PARIS BAGUETTE","273","CANAL ST",10013,"Bakery","273, CANAL ST, New York, NY",-74.0011966,40.7191558
"147",147,"SERGIMMO SALUMERIA","456","9 AVENUE",10018,"Italian","456, 9 AVENUE, New York, NY",-73.995422,40.7542547
"148",148,"TRUMP CAFE & GRILL","725","5 AVENUE",10022,"American","725, 5 AVENUE, New York, NY",-73.9739119,40.7623737
"149",149,"THE BREAD FACTORY","935","8 AVENUE",10019,"American","935, 8 AVENUE, New York, NY",-73.9838982,40.7657404
"150",150,"HOP WON EXPRESS","139","E 45TH ST",10017,"Chinese","139, E 45TH ST, New York, NY",NA,NA
"151",151,"SHUKA","38","MACDOUGAL STREET",10012,"American","38, MACDOUGAL STREET, New York, NY",-74.0028594,40.7270504
"152",152,"BAR BOULUD","1900","BROADWAY",10025,"French","1900, BROADWAY, New York, NY",-73.9813859,40.7715824
"153",153,"INTERNATIONAL FLAVORS  & FRAGRANCES","521","WEST   57 STREET",10019,"American","521, WEST   57 STREET, New York, NY",-73.9895225,40.7698378
"154",154,"MARINA GOURMET DELI.","246","EAST   23  STREET",10010,"American","246, EAST   23  STREET, New York, NY",-73.9814648,40.7379149
"155",155,"OCABANON","245","W 29TH ST",10001,"French","245, W 29TH ST, New York, NY",NA,NA
"156",156,"BRICKYARD GASTRO PUB","785","9 AVENUE",10019,"American","785, 9 AVENUE, New York, NY",-73.9881222,40.7650666
"157",157,"EL VALLE SEAFOOD RESTAURANT","231","SHERMAN AVE",10034,"Spanish","231, SHERMAN AVE, New York, NY",NA,NA
"158",158,"MAISON HARLEM RESTAURANT","341","ST NICHOLAS AVENUE",10027,"French","341, ST NICHOLAS AVENUE, New York, NY",-73.9516109,40.8123152
"159",159,"MILANES SPANISH RESTAURANT","168","WEST   25 STREET",10001,"Spanish","168, WEST   25 STREET, New York, NY",-73.9944579,40.7450473
"160",160,"T 45","135","W 45TH ST",10036,"American","135, W 45TH ST, New York, NY",NA,NA
"161",161,"CHAI THAI KITCHEN","930","8TH AVE",10019,"Thai","930, 8TH AVE, New York, NY",-73.983485,40.7654117
"162",162,"FAMOUS AMADEUS PIZZA","840","8 AVENUE",10019,"Pizza/Italian","840, 8 AVENUE, New York, NY",-73.9853784,40.7624081
"163",163,"PETRARCA","34","WHITE STREET",10013,"Italian","34, WHITE STREET, New York, NY",NA,NA
"164",164,"BUVETTE","42","GROVE STREET",10014,"French","42, GROVE STREET, New York, NY",NA,NA
"165",165,"BARILLA RESTAURANTS","108","W 32ND ST",10001,"Italian","108, W 32ND ST, New York, NY",-73.9890863,40.748454
"166",166,"PAPA JOHN'S","2119","1ST AVE",10029,"Pizza","2119, 1ST AVE, New York, NY",NA,NA
"167",167,"THE DEAD POET","450","AMSTERDAM AVE",10024,"Irish","450, AMSTERDAM AVE, New York, NY",-73.9773785,40.7849918
"168",168,"RATHBONES PUB","1702","2 AVENUE",10128,"American","1702, 2 AVENUE, New York, NY",-73.9503721,40.7792488
"169",169,"LA TRAVIATA PIZZA","101","WEST   68 STREET",10023,"Pizza","101, WEST   68 STREET, New York, NY",NA,NA
"170",170,"BOXERS NYC","37","WEST   20 STREET",10011,"American","37, WEST   20 STREET, New York, NY",-73.9931495,40.7407505
"171",171,"99 CENTS FAMOUS PIZZA","1","E 28TH ST",10016,"Pizza","1, E 28TH ST, New York, NY",-73.9870023,40.7447029
"172",172,"STIR CAFE","32","BROADWAY",10004,"American","32, BROADWAY, New York, NY",-74.0129819,40.7058715
"173",173,"HOP LEE RESTARANT","16","MOTT STREET",10013,"Chinese","16, MOTT STREET, New York, NY",-73.9984927,40.7142315
"174",174,"WIMPYS RESTAURANT","23","EAST  109 STREET",10029,"American","23, EAST  109 STREET, New York, NY",-73.9484134,40.7957818
"175",175,"KANOYAMA","175","2 AVENUE",10003,"Japanese","175, 2 AVENUE, New York, NY",NA,NA
"176",176,"ATRIO","102","NORTH END AVENUE",10282,"American","102, NORTH END AVENUE, New York, NY",NA,NA
"177",177,"MACARON PARLOUR","560","COLUMBUS AVE",10024,"Caf̩/Coffee/Tea","560, COLUMBUS AVE, New York, NY",NA,NA
"178",178,"VIVE LA CREPE","189","COLUMBUS AVENUE",10023,"Caf̩/Coffee/Tea","189, COLUMBUS AVENUE, New York, NY",-73.9803166,40.7750114
"179",179,"NATSUMI","226","WEST   50 STREET",10019,"Japanese","226, WEST   50 STREET, New York, NY",NA,NA
"180",180,"NEW CHINATOWN RESTAURANT","43417","AVENUE D",10009,"Chinese","43417, AVENUE D, New York, NY",-73.9761402,40.7235415
"181",181,"THE CAFE","2","WEST LOOP RD",10044,"Caf̩/Coffee/Tea","2, WEST LOOP RD, New York, NY",-73.9558646,40.7564795
"182",182,"WOK 88","1570","3 AVENUE",10128,"Chinese","1570, 3 AVENUE, New York, NY",-73.95318,40.7803949
"183",183,"MAISON KAYSER","841","BROADWAY",10003,"Bakery","841, BROADWAY, New York, NY",-73.9912212,40.7343
"184",184,"SUSHI REN","1584","2ND AVE",10028,"Japanese","1584, 2ND AVE, New York, NY",-73.9532776,40.7752755
"185",185,"SAFARI","219","W 116TH ST",10026,"African","219, W 116TH ST, New York, NY",-73.9535534,40.8038583
"186",186,"JAIYA THAI & ORIENTAL RESTAURANT","1553","2 AVENUE",10028,"Thai","1553, 2 AVENUE, New York, NY",-73.9545117,40.7745281
"187",187,"DOMINO'S","3624","BROADWAY",10031,"Pizza","3624, BROADWAY, New York, NY",-73.9481264,40.8289435
"188",188,"SHERMAN'S","121","DIVISION ST",10002,"Greek","121, DIVISION ST, New York, NY",-73.9917951,40.7143209
"189",189,"GUADALUPE BAR AND GRILL","597","WEST 207 STREET",10034,"Mexican","597, WEST 207 STREET, New York, NY",-73.9207576,40.867391
"190",190,"HAN BAT RESTAURANT","53","WEST   35 STREET",10001,"Korean","53, WEST   35 STREET, New York, NY",-73.9863204,40.7501853
"191",191,"BAR ASSOCIATION OF THE CITY OF NY KITCHEN","42","WEST   44 STREET",10036,"American","42, WEST   44 STREET, New York, NY",NA,NA
"192",192,"SABLE","1489","2 AVENUE",10075,"Delicatessen","1489, 2 AVENUE, New York, NY",-73.9560437,40.7724638
"193",193,"VAPOR LOUNGE AND RESTAURANT","4160","BROADWAY",10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","4160, BROADWAY, New York, NY",-73.937877,40.846991
"194",194,"SUSHI PARA MANHATTAN","1461","3RD AVE",10028,"Japanese","1461, 3RD AVE, New York, NY",-73.9553383,40.7764587
"195",195,"THE PIT AT PEOPLES IMPROV THEATER","123","EAST   24 STREET",10010,"American","123, EAST   24 STREET, New York, NY",NA,NA
"196",196,"BROTHERS FISH MARKET","3845","BROADWAY",10032,"Seafood","3845, BROADWAY, New York, NY",-73.9436565,40.8363092
"197",197,"ROTISSERIE","225","LIBERTY ST",10281,"American","225, LIBERTY ST, New York, NY",-74.015278,40.7125
"198",198,"EAST VILLAGE SOCIAL","126","ST MARKS PLACE",10009,"American","126, ST MARKS PLACE, New York, NY",-73.9837605,40.7268127
"199",199,"SCOTTY'S DINER","336","LEXINGTON AVENUE",10016,"American","336, LEXINGTON AVENUE, New York, NY",-73.9776081,40.7497967
"200",200,"V-BREAD CAFE NY","11","ALLEN ST",10002,"Chinese","11, ALLEN ST, New York, NY",NA,NA
"201",201,"SHUN WEI RESTAURANT","45","CATHERINE STREET",10038,"Chinese","45, CATHERINE STREET, New York, NY",-73.9966702,40.7119464
"202",202,"BLAGGARD'S PUB","8","WEST   38 STREET",10018,"Irish","8, WEST   38 STREET, New York, NY",-73.9835998,40.7511298
"203",203,"NOMO SOHO","9","CROSBY ST",10013,"American","9, CROSBY ST, New York, NY",NA,NA
"204",204,"THE CORNELIA STREET CAFE","29","CORNELIA STREET",10014,"American","29, CORNELIA STREET, New York, NY",-74.0024921,40.7314775
"205",205,"BERMUDEZ BAKERY","1875","LEXINGTON AVENUE",10035,"Bakery","1875, LEXINGTON AVENUE, New York, NY",NA,NA
