"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"822","CASWELL PEARSON ENTERPRISES LTD &","BKUK 3 CORPORATION AS MGR DBA: LA CARBONARA","202 WEST 14TH STREET","7TH AVENUE & 8TH AVENUE","NEW YORK","NY",10013,40.73855835,-73.99983752,"(40.73855835, -73.99983752)"
"823","MANGIA 23RD STREET LLC","MANGIA","22 W 23RD ST","","NEW YORK","NY",10010,40.74167967,-73.99002772,"(40.74167967, -73.99002772)"
"824","PRAGUE LLC","SCHILLER'S","131 RIVINGTON ST","CRN OF RIVINGTON & NORFOLK","NEW YORK","NY",10002,40.71952541,-73.98674129,"(40.71952541, -73.98674129)"
"825","1465 CDM INCORPORATED","THE GRAFTON","126 1ST AVENUE","","NEW YORK","NY",10009,40.72725677,-73.9854547,"(40.72725677, -73.9854547)"
"826","RAGUBOY CORP","SUPPER","156 EAST 2ND STREET","AVENUE A & AVENUE B","NEW YORK","NY",10009,40.72287693,-73.98536831,"(40.72287693, -73.98536831)"
"827","TAISHO INC","","9 ST MARKS PLACE","2ND & 3RD AVENUES","NEW YORK","NY",10003,40.72936061,-73.9893433,"(40.72936061, -73.9893433)"
"828","OUTBACK STEAKHOUSE OF FLORIDA LLC","OUTBACK STEAKHOUSE","60 WEST 23RD STREET","22ND AND 23RD","NEW YORK","NY",10010,40.7422514,-73.99140464,"(40.7422514, -73.99140464)"
"829","HERBERT STREET LLC","BOBBY VAN'S","131 E 54TH ST","LEXINGTON AVE & PARK AVE","NEW YORK","NY",10022,40.75919137,-73.97083817,"(40.75919137, -73.97083817)"
"830","CORNER BILLIARDS CORP","AMSTERDAM BILLIARDS & BAR","110 E 11TH ST","3RD & 4TH AVENUES","NEW YORK","NY",10003,40.73185098,-73.99003329,"(40.73185098, -73.99003329)"
"831","YUCA BAR & RESTAURANT INC","","111 AVENUE A","EAST 7TH STREET","NEW YORK","NY",10009,40.72608297,-73.98357708,"(40.72608297, -73.98357708)"
"832","JUST AN OVEN CORP","LI'L  FRANKIES","19- 21 1ST AVENUE","1ST & 2ND STREETS","NEW YORK","NY",10003,40.70627426,-74.01796733,"(40.70627426, -74.01796733)"
"833","SWEET HOSPITALITY GROUP","BILTMORE THEATRE","261 65 W 47TH ST","","NEW YORK","NY",10036,40.76053882,-73.98663119,"(40.76053882, -73.98663119)"
"834","588 RESTAURANT CORP","CARIDAD","588 AMSTERDAM AVE","W. 88TH ST & W. 89TH ST.","NEW YORK","NY",10024,40.78932792,-73.97389008,"(40.78932792, -73.97389008)"
"835","SILK CORP","HEADQUARTERS","552 W 38TH STREET","","NEW YORK","NY",10018,40.75801605,-73.99947927,"(40.75801605, -73.99947927)"
"836","106 NORFOLK RESTAURANT, INC.","106 NORFOLK RESTAURANT","106 NORFOLK ST - SOUTH STORE","DELANCY & RIVINGTON","NEW YORK","NY",10002,40.71863035,-73.98714908,"(40.71863035, -73.98714908)"
"837","BLOOMINGDALES INC","FORTY CARROTS","504 BROADWAY","5TH FLOOR","NEW YORK","NY",10012,40.72231678,-73.99939223,"(40.72231678, -73.99939223)"
"838","DEJ LLC","THE GRAMERCY HOUSE","272 3RD AVE","","NEW YORK","NY",10010,40.73786969,-73.98391295,"(40.73786969, -73.98391295)"
"839","JACKA 91ST STREET INC","","301 E 91ST ST","","NEW YORK","NY",10028,40.65787732,-73.9241938,"(40.65787732, -73.9241938)"
"840","NEW YORK CHAPTER OF THE AMERICAN","INSTITUTE OF ARCHITECTS","534 LAGUARDIA PLACE","","NEW YORK","NY",10012,40.72850793,-73.99865877,"(40.72850793, -73.99865877)"
"841","5127 RESTAURANT CORP","GINGERS","512 7TH AVE","","NEW YORK","NY",10018,40.75340433,-73.98879333,"(40.75340433, -73.98879333)"
"842","PETNO RESTAURANT INC","GAETANA'S","143 CHRISTOPHER ST","CHRISTOPHER & GREENWICH","NEW YORK","NY",10014,40.73292223,-74.00755031,"(40.73292223, -74.00755031)"
"843","JEC II LLC, BAGATELLE LITTLE WEST 12TH LLC,","BAGATELLE AMERICA LLC DBA: BAGATELLE","2 8 9TH AVE","AKA 1 LITTLE W 12 ST","NEW YORK","NY",10014,40.73960148,-74.00624352,"(40.73960148, -74.00624352)"
"844","BUBBA GUMP SHRIMP CO RESTAURANT INC","","1501 BROADWAY NORTHEAST CORNER","","NEW YORK","NY",10036,40.75749275,-73.98600647,"(40.75749275, -73.98600647)"
"845","THE ELYSABETH KLEINHANS THEATRICAL FOUNDATION INC","59 E 59TH THEATERS","59 E 59TH STREET","PARK & MADISON","NEW YORK","NY",10022,40.7633429,-73.97076131,"(40.7633429, -73.97076131)"
"846","FT 245 CORP","BAR VELOCE","245 EAST 11TH STREET AKA 175 S","","NEW YORK","NY",10003,40.73092906,-73.98755643,"(40.73092906, -73.98755643)"
"847","325 E 14TH STREET CORP","CROCODILE LOUNGE","325 EAST 14TH STREET","13TH & 15TH STREETS","NEW YORK","NY",10003,40.73214499,-73.98431965,"(40.73214499, -73.98431965)"
"848","BRACKLUINN REST INC & 137 LUDLOW HOLDINGS LLC","LIBATION","137 LUDLOW STREET","STANTON & RIVINGTON STREETS","NEW YORK","NY",10002,40.72035546,-73.98827352,"(40.72035546, -73.98827352)"
"849","TABOON RESTAURANT CORP","","773 10TH AVENUE","52ND & 53RD AVENUES","NEW YORK","NY",10019,40.76609433,-73.99082201,"(40.76609433, -73.99082201)"
"850","BROADWAY APPLE LLC","APPLEBEES NEIGHBORHOOD GRILL & BAR","1634 BROADWAY","","NEW YORK","NY",10019,40.76151437,-73.98398826,"(40.76151437, -73.98398826)"
"851","CHIPOTLE MEXICAN GRILL OF COLORADO LLC","CHIPOTLE MEXICAN GRILL","19-23 SAINT MARKS PLACE","","NEW YORK","NY",10003,40.72906426,-73.98879627,"(40.72906426, -73.98879627)"
"852","FACOSULL CORP","FOUR FACED LIAR, THE","165 W 4TH ST","","NEW YORK","NY",10014,40.73194803,-74.00123649,"(40.73194803, -74.00123649)"
"853","P G T REST CORP","SLAINTE","304 BOWERY","HOUSTON & BLEECKER STREETS","NEW YORK","NY",10012,40.7247013,-73.99253462,"(40.7247013, -73.99253462)"
"854","BD GORHAM LLC","","136 138 W 55TH ST","6TH AVENUE & 7TH AVENUE","NEW YORK","NY",10019,40.76344019,-73.97922111,"(40.76344019, -73.97922111)"
"855","UNCLE JACK S STEAKHOUSE INC","","440 9TH AVENUE","35TH STREET","NEW YORK","NY",10001,40.75368317,-73.99598113,"(40.75368317, -73.99598113)"
"856","HEARTH RESTAURANT INVESTORS LLC","HEARTH","403 E 12TH ST","1ST AVENUE &","NEW YORK","NY",10009,40.73003039,-73.98343805,"(40.73003039, -73.98343805)"
"857","HINOMARU INC","KENKA","25 ST MARKS PLACE","2ND & 3RD AVENUES","NEW YORK","NY",10003,40.72896634,-73.98840997,"(40.72896634, -73.98840997)"
"858","RICARDO LLC","RICARDO STEAKHOUSE","2145 2ND AVENUE","110TH & 11TH STREETS","NEW YORK","NY",10029,40.79336071,-73.94052352,"(40.79336071, -73.94052352)"
"859","COLUMBUS BAR LLC","ASCENT LOUNGE","10 COLUMBUS CIR, REST #5 4FL","58TH & 60TH","NEW YORK","NY",10019,0,0,"(0.0, 0.0)"
"860","TKNYC LLC","","10 COLUMBUS CIR REST #6 4TH FL","","NEW YORK","NY",10019,40.76816382,-73.98238257,"(40.76816382, -73.98238257)"
"861","EMEMT INC","","86 E 3RD ST","1ST AVENUE & 2ND AVENUE","NEW YORK","NY",10003,40.72475791,-73.98807829,"(40.72475791, -73.98807829)"
"862","QUATTRO AMIGGI CORP","ITALIANISSIMO","307 E 84TH ST","2ND AVENUE & 3RD AVENUE","NEW YORK","NY",10028,40.77650897,-73.95245285,"(40.77650897, -73.95245285)"
"863","CHELSEA KARAOKE INC","KARAOKE ONE 7","29 W 17TH STREET","5TH & 6TH AVENUES","NEW YORK","NY",10017,40.73837234,-73.99313815,"(40.73837234, -73.99313815)"
"864","BARBES RESTAURANT INC","","19 E 36TH ST","AKA 218 MADISON AVE","NEW YORK","NY",10016,40.74917909,-73.98234593,"(40.74917909, -73.98234593)"
"865","CHORUS MUSIC STUDIO INC","","25 W 32ND ST","3RD FLOOR","NEW YORK","NY",10001,40.74770257,-73.98681402,"(40.74770257, -73.98681402)"
"866","CAFE FOCACCIA INC","FELICE WINE BAR","400 E 64TH ST","AKA 1166 1ST AVE","NEW YORK","NY",10021,40.76267095,-73.95964436,"(40.76267095, -73.95964436)"
"867","CGM-GH LLC & PAIGE GH GROUP LLC","THE CHESTER","18 9TH AVENUE","CORNER WEST 13TH STREET","NEW YORK","NY",10014,40.74013912,-74.00586829,"(40.74013912, -74.00586829)"
