"","X.2","X.1","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"1416",1507,2136,2136,"WESTSIDE TAVERN","360","WEST   23 STREET",10011,"American","360, WEST   23 STREET, New York, NY",-74.0009312,40.7461197
"1417",1509,2138,2138,"NOMAD","78","2 AVENUE",10003,"Others","78, 2 AVENUE, New York, NY",-73.9889945,40.7263584
"1418",1510,2139,2139,"STAGE DOOR DELI","360","9TH AVE",10001,"Others","360, 9TH AVE, New York, NY",-73.9976142,40.7510244
"1419",1511,2140,2140,"BABYLON","208","EAST   34 STREET",10016,"Others","208, EAST   34 STREET, New York, NY",-73.9777524,40.7452798
"1420",1512,2141,2141,"HOT KITCHEN","104","2 AVENUE",10003,"Chinese","104, 2 AVENUE, New York, NY",-73.9881496,40.7273949
"1421",1513,2144,2144,"CHICKEN RANCH","315","AUDUBON AVE",10033,"Others","315, AUDUBON AVE, New York, NY",-73.932371,40.8484482
"1422",1514,2145,2145,"SID GOLD'S REQUEST ROOM","165","W 26TH ST",10001,"American","165, W 26TH ST, New York, NY",-73.9936086,40.7459112
"1423",1515,2146,2146,"SUBWAY","1752","PARK AVE",10035,"Others","1752, PARK AVE, New York, NY",-73.9412174,40.8030845
"1424",1516,2147,2147,"MCDONALD'S","354","WEST  125 STREET",10027,"American","354, WEST  125 STREET, New York, NY",-73.9530851,40.8107313
"1425",1517,2148,2148,"COYOTE UGLY","153","FIRST AVENUE",10003,"American","153, FIRST AVENUE, New York, NY",-73.9849083,40.7285587
"1426",1518,2150,2150,"OOTOYA JAPANESE RESTAURANT","8","WEST   18 STREET",10011,"Japanese","8, WEST   18 STREET, New York, NY",-73.9927793,40.7387488
"1427",1519,2151,2151,"MALAYSIA GRILL","224","W 104TH ST",10025,"Others","224, W 104TH ST, New York, NY",-73.9677821,40.7994024
"1428",1520,2152,2152,"ALL AMERICAN DELI","42","WATER STREET",10004,"Others","42, WATER STREET, New York, NY",-74.0101701,40.7035707
"1429",1521,2153,2153,"EL SOMBRERO","108","STANTON ST",10002,"Others","108, STANTON ST, New York, NY",-73.9874794,40.7212393
"1430",1522,2155,2155,"LANGANS BAR & RESTAURANT","150","WEST   47 STREET",10036,"Others","150, WEST   47 STREET, New York, NY",-73.9838064,40.7586656
"1431",1523,2156,2156,"SUBWAY","1873","2ND AVE",10029,"Others","1873, 2ND AVE, New York, NY",-73.9470725,40.7847716
"1432",1524,2157,2157,"Honeyhaus Coffee","334","E 11TH ST",10003,"Others","334, E 11TH ST, New York, NY",-73.984804,40.72947
"1433",1525,2158,2158,"ESS-A-BAGEL","831","THIRD AVENUE",10022,"Others","831, THIRD AVENUE, New York, NY",-73.9699785,40.7559897
"1434",1526,2159,2159,"SALAM CAFE & REST","104","W. 13TH ST. (UNIT ONE)",10011,"Others","104, W. 13TH ST. (UNIT ONE), New York, NY",-73.9979586,40.7367323
"1435",1527,2161,2161,"EL CAMION CANTINA","194","AVENUE A",10009,"Others","194, AVENUE A, New York, NY",-73.9810516,40.7290923
"1436",1528,2162,2162,"DL","95","DELANCEY STREET",10002,"American","95, DELANCEY STREET, New York, NY",-73.9893848,40.7185941
"1437",1530,2165,2165,"PROPER WEST","54","W 39TH ST",10018,"American","54, W 39TH ST, New York, NY",-73.9847706,40.752396
"1438",1531,2166,2166,"BUA","122-126","ST MARKS PLACE",10009,"American","122-126, ST MARKS PLACE, New York, NY",-73.9837605,40.7268127
"1439",1532,2167,2167,"MR TAKA RAMEN","170","ALLEN ST",10002,"Japanese","170, ALLEN ST, New York, NY",-73.9888912,40.7212369
"1440",1533,2168,2168,"SALT AND PEPPER DINER","139","WEST   33 STREET",10001,"Others","139, WEST   33 STREET, New York, NY",-73.9899845,40.7500936
"1441",1534,2171,2171,"TEHUITZINGO DELI AND GROCERY","695","10 AVENUE",10036,"Others","695, 10 AVENUE, New York, NY",-73.993262,40.763222
"1442",1535,2172,2172,"PERSEPOLIS","1407","2 AVENUE",10021,"Others","1407, 2 AVENUE, New York, NY",-73.9579557,40.7698097
"1443",1536,2173,2173,"GENNARO RESTAURANT","665","AMSTERDAM AVENUE",10025,"Italian","665, AMSTERDAM AVENUE, New York, NY",-73.9717285,40.7917717
"1444",1537,2175,2175,"LUPA OSTERIA ROMANA","170","THOMPSON STREET",10012,"Italian","170, THOMPSON STREET, New York, NY",-74.0000589,40.7276574
"1445",1538,2176,2176,"CHINA BLUE","451","WASHINGTON ST",10013,"Chinese","451, WASHINGTON ST, New York, NY",-74.00996,40.723984
"1446",1539,2177,2177,"BRASS MONKEY","55","LITTLE WEST 12 STREET",10014,"American","55, LITTLE WEST 12 STREET, New York, NY",-74.008443,40.740766
"1447",1540,2178,2178,"STUDIO CAFE 59","59","CHELSEA PIERS",10011,"Italian","59, CHELSEA PIERS, New York, NY",-74.0085954,40.7457519
"1448",1541,2179,2179,"TACO BELL","1884","THIRD AVENUE",10029,"Others","1884, THIRD AVENUE, New York, NY",-73.9457638,40.7905054
"1449",1542,2181,2181,"NATSUMI  TAPAS","323","3RD AVE",10010,"Japanese","323, 3RD AVE, New York, NY",-73.9823287,40.7395596
"1450",1543,2182,2182,"BUDDHA BEER BAR","4476","BROADWAY",10040,"American","4476, BROADWAY, New York, NY",-73.9319424,40.8572822
"1451",1544,2184,2184,"RESTAURANT ANNISA","13","BARROW STREET",10014,"American","13, BARROW STREET, New York, NY",-74.0023973,40.732497
"1452",1545,2185,2185,"L'ENCANTO D'LOLA","57","LENOX AVENUE",10026,"Others","57, LENOX AVENUE, New York, NY",-73.9515179,40.800139
"1453",1546,2186,2186,"ANAFE SEAFOOD","584","W 207TH ST",10034,"Others","584, W 207TH ST, New York, NY",-73.9210417,40.8668387
"1454",1547,2187,2187,"MAMA'S TOO!","2750","BROADWAY",10025,"Pizza","2750, BROADWAY, New York, NY",-73.9675901,40.8008324
"1455",1548,2190,2190,"SYLVIA'S RESTAURANT","328","LENOX AVENUE",10027,"Others","328, LENOX AVENUE, New York, NY",-73.9444408,40.8085827
"1456",1549,2191,2191,"JUNIOR'S TACOS","253257","SHERMAN AVENUE",10034,"Others","253257, SHERMAN AVENUE, New York, NY",-73.9237766,40.8644089
"1457",1550,2192,2192,"ARTE RESTAURANT","21","EAST    9 STREET",10003,"Italian","21, EAST    9 STREET, New York, NY",-73.9945561,40.7325061
"1458",1551,2193,2193,"TANOSHI BENTO","1372","YORK AVE",10021,"Japanese","1372, YORK AVE, New York, NY",-73.9528324,40.7675668
"1459",1552,2194,2194,"DYCKMAN BAR","221","DYCKMAN STREET",10034,"American","221, DYCKMAN STREET, New York, NY",-73.9274172,40.8659948
"1460",1553,2197,2197,"NOM WAH TEA/DIM SUM PALOR","13","DOYERS STREET",10013,"Chinese","13, DOYERS STREET, New York, NY",-73.9982591,40.7144578
"1461",1554,2199,2199,"Angus Club Steakhouse","135","E 55TH ST",10022,"American","135, E 55TH ST, New York, NY",-73.9697551,40.75967
"1462",1555,2201,2201,"CROCODILE LOUNGE","325","EAST   14 STREET",10003,"Pizza","325, EAST   14 STREET, New York, NY",-73.983729,40.732073
"1463",1556,2204,2204,"THE TOOL BOX","1742","2 AVENUE",10128,"American","1742, 2 AVENUE, New York, NY",-73.9493227,40.7807333
"1464",1558,2207,2207,"MAISON KAYSER","1400","BROADWAY",10018,"Others","1400, BROADWAY, New York, NY",-73.98669,40.752877
"1465",1559,2208,2208,"COWGIRL HALL OF FAME","519","HUDSON STREET",10014,"Others","519, HUDSON STREET, New York, NY",-74.006606,40.733932
"1466",1560,2212,2212,"BON VIVANT NEW YORK","238","E 58TH ST",10022,"Others","238, E 58TH ST, New York, NY",-73.965624,40.7601349
"1467",1562,2214,2214,"CARNEGIE CUP CAFE","1080","PARK AVE",10128,"Others","1080, PARK AVE, New York, NY",-73.9564863,40.7817138
"1468",1563,2215,2215,"HARRY CIPRIANI","781","5 AVENUE",10022,"Italian","781, 5 AVENUE, New York, NY",-73.9725115,40.7643163
"1469",1564,2217,2217,"HOTEL CENTRAL FIFTH AVENUE","13","W 45TH ST",10036,"Others","13, W 45TH ST, New York, NY",-73.9801899,40.75596
"1470",1565,2218,2218,"STARBUCKS","77","WEST  125 STREET",10027,"Others","77, WEST  125 STREET, New York, NY",-73.9450956,40.8078233
"1471",1566,2219,2219,"KAIA WINE BAR","1614","3 AVENUE",10128,"Others","1614, 3 AVENUE, New York, NY",-73.9521239,40.7818647
"1472",1567,2220,2220,"SAMMY'S STEAKHOUSE","155157","CHRISTIE ST.",10002,"Others","155157, CHRISTIE ST., New York, NY",-73.9929172,40.7199205
"1473",1568,2222,2222,"ISTANBUL KEBAB HOUSE","712","9TH AVE",10019,"Others","712, 9TH AVE, New York, NY",-73.989253,40.7625
"1474",1569,2223,2223,"FRESH LEAF","58","W 36TH ST",10018,"American","58, W 36TH ST, New York, NY",-73.9859299,40.750486
"1475",1570,2224,2224,"FIKA","66","PEARL STREET",10004,"Others","66, PEARL STREET, New York, NY",-74.0108313,40.7034852
"1476",1571,2225,2225,"GRASSROOT TAVERN","20","ST MARKS PLACE",10003,"American","20, ST MARKS PLACE, New York, NY",-73.9889539,40.7288937
"1477",1572,2226,2226,"VILLA CEMITA","50","AVENUE A",10009,"Others","50, AVENUE A, New York, NY",-73.9847935,40.7238123
"1478",1573,2227,2227,"PIZZA PETE'S","528","COLUMBUS AVENUE",10024,"Pizza","528, COLUMBUS AVENUE, New York, NY",-73.9725922,40.7862402
"1479",1575,2229,2229,"CHORUS MUSIC STUDIO/ CHORUS KARAOKE LOUNGE BAR","25","WEST   32 STREET",10001,"Others","25, WEST   32 STREET, New York, NY",-73.9868137,40.7478806
"1480",1576,2230,2230,"EARTH CAFE","2580","BROADWAY",10025,"American","2580, BROADWAY, New York, NY",-73.970705,40.7953768
"1481",1577,2231,2231,"AJISAI","795","LEXINGTON AVENUE",10065,"Japanese","795, LEXINGTON AVENUE, New York, NY",-73.9667719,40.7637709
"1482",1578,2232,2232,"''W'' CAFE","390","5TH AVE",10018,"American","390, 5TH AVE, New York, NY",-73.9839159,40.7496383
"1483",1579,2233,2233,"JENNIFER CAFE","67","1 AVENUE",10003,"Others","67, 1 AVENUE, New York, NY",-73.987292,40.725414
"1484",1581,2236,2236,"PARNELL'S PUB","350","EAST   53 STREET",10022,"Others","350, EAST   53 STREET, New York, NY",-73.9651189,40.7557797
"1485",1582,2238,2238,"PORSENA","2123","EAST    7 STREET",10003,"Italian","2123, EAST    7 STREET, New York, NY",-73.9639595,40.5987541
"1486",1583,2240,2240,"B&W DELI GROCERY","373","west 34th st",10001,"American","373, west 34th st, New York, NY",-73.9958912,40.7535061
"1487",1585,2244,2244,"JIMBO'S","284","LENOX AVE",10027,"Others","284, LENOX AVE, New York, NY",-73.9454895,40.8071491
"1488",1586,2245,2245,"WENDY'S","20","E 14TH ST",10003,"Others","20, E 14TH ST, New York, NY",-73.9927133,40.7353417
"1489",1587,2246,2246,"GAETANA'S CUCINA ITALIANA","143","CHRISTOPHER STREET",10014,"Italian","143, CHRISTOPHER STREET, New York, NY",-74.0077958,40.7329613
"1490",1588,2247,2247,"COCO FRESH TEA & JUICE","38","LEXINGTON AVENUE",10010,"Others","38, LEXINGTON AVENUE, New York, NY",-73.9845295,40.7401547
"1491",1589,2248,2248,"PANERA BREAD","304","PARK AVE S",10010,"American","304, PARK AVE S, New York, NY",-73.98707,40.740333
"1492",1590,2250,2250,"La Dinastia Latin-Chinese Cuisine","145","W 72ND ST",10023,"Others","145, W 72ND ST, New York, NY",-73.9802252,40.7783368
"1493",1591,2251,2251,"UNCLE NICKS","747","9 AVENUE",10019,"Others","747, 9 AVENUE, New York, NY",-73.9889945,40.7638784
"1494",1592,2253,2253,"LA DINASTIA","4059","BROADWAY",10032,"Others","4059, BROADWAY, New York, NY",-73.9394471,40.8431703
"1495",1593,2254,2254,"STARBUCKS #48990","125","SAINT MARKS PL",10009,"Others","125, SAINT MARKS PL, New York, NY",-73.983381,40.7269389
"1496",1594,2255,2255,"GONG CHA","72","BAYARD ST",10013,"Others","72, BAYARD ST, New York, NY",-73.9982313,40.7157353
"1497",1595,2256,2256,"APERITIVO DI PALMA","30","CORNELIA ST",10014,"American","30, CORNELIA ST, New York, NY",-74.0024462,40.7312007
"1498",1596,2257,2257,"DAVE'S TAVERN","574","9 AVENUE",10036,"American","574, 9 AVENUE, New York, NY",-73.9925729,40.758035
"1499",1598,2259,2259,"PATZERIA'S PERFECT PIZZA","231","WEST   46 STREET",10036,"Pizza","231, WEST   46 STREET, New York, NY",-73.9867714,40.7594681
"1500",1599,2262,2262,"WAY POINT","65","LUDLOW ST",10002,"Others","65, LUDLOW ST, New York, NY",-73.9900046,40.717311
"1501",1600,2263,2263,"COLUMBUS GOURMET FOOD","261","COLUMBUS AVE STORE #2",10023,"American","261, COLUMBUS AVE STORE #2, New York, NY",-122.4065603,37.7976073
"1502",1601,2264,2264,"PERA SOHO","54","THOMPSON STREET",10012,"Others","54, THOMPSON STREET, New York, NY",-74.0032266,40.7237816
"1503",1602,2265,2265,"GO ZEN RESTAURANT","144","W 4TH ST",10012,"Others","144, W 4TH ST, New York, NY",-74.0005639,40.7311655
"1504",1603,2266,2266,"HUDSON FOOD COURT","333","HUDSON STREET",10013,"American","333, HUDSON STREET, New York, NY",-74.0077026,40.727177
"1505",1604,2267,2267,"GG's","511","E 5TH ST",10009,"American","511, E 5TH ST, New York, NY",-73.9836687,40.7247145
"1506",1606,2269,2269,"KESTE PIZZA & VINO","271","BLEECKER STREET",10014,"Pizza","271, BLEECKER STREET, New York, NY",-74.0029626,40.7315345
"1507",1607,2270,2270,"MIMIS RESTAURANT & BAR","984","SECOND AVENUE",10022,"Italian","984, SECOND AVENUE, New York, NY",-73.9672945,40.7561212
"1508",1608,2271,2271,"ARIANA KEBAB HOUSE","787","9 AVENUE",10019,"Others","787, 9 AVENUE, New York, NY",-73.9880763,40.7651373
"1509",1609,2272,2272,"RISTORANTE LUNA","115","MULBERRY STREET",10013,"Italian","115, MULBERRY STREET, New York, NY",-73.9984062,40.7176916
"1510",1610,2274,2274,"FRESH & CO.","127","E. 60TH ST",10022,"Others","127, E. 60TH ST, New York, NY",-73.9681609,40.7632255
"1511",1611,2275,2275,"BARCIBO ENOTECA","2020","BROADWAY",10023,"Others","2020, BROADWAY, New York, NY",-73.9818321,40.7764432
"1512",1612,2277,2277,"The Pho Restaurant","127","E 23RD ST",10010,"Others","127, E 23RD ST, New York, NY",-73.9849772,40.7398225
"1513",1613,2278,2278,"LECHONERA TROPICAL & GRILL","172","EAST  103 STREET",10029,"Others","172, EAST  103 STREET, New York, NY",-73.9466592,40.7896494
"1514",1614,2279,2279,"EL PARADOR CAFE","325","EAST   34 STREET",10016,"Others","325, EAST   34 STREET, New York, NY",-73.9747154,40.7444839
"1515",1615,2280,2280,"BONDURANTS","303","E 85TH ST",10028,"American","303, E 85TH ST, New York, NY",-73.9518501,40.7771612
"1516",1616,2281,2281,"2BEANS","1000S","8TH AVE",10019,"Others","1000S, 8TH AVE, New York, NY",-73.9833642,40.7686743
"1517",1617,2282,2282,"NINJA GRILL","103","ESSEX ST",10002,"Japanese","103, ESSEX ST, New York, NY",-73.988214,40.7191038
"1518",1618,2283,2283,"MEATBALL OBSESSION","510","AVENUE OF THE AMERICAS",10011,"Italian","510, AVENUE OF THE AMERICAS, New York, NY",-73.9967305,40.7370118
"1519",1619,2284,2284,"MIYAKO SUSHI","642","AMSTERDAM AVE",10025,"Japanese","642, AMSTERDAM AVE, New York, NY",-73.972787,40.791128
"1520",1620,2286,2286,"VILLAGE EAST CINEMAS","181","2 AVENUE",10003,"American","181, 2 AVENUE, New York, NY",-73.986157,40.7309294
"1521",1621,2287,2287,"STICKY'S FINGER JOINT","484","3RD AVE",10016,"Others","484, 3RD AVE, New York, NY",-73.9788811,40.7450456
"1522",1622,2288,2288,"ALMAYASS","24","EAST   21 STREET",10010,"Others","24, EAST   21 STREET, New York, NY",-73.9889945,40.7393696
"1523",1623,2289,2289,"MCDONALD'S","429","7 AVENUE",10001,"Others","429, 7 AVENUE, New York, NY",-73.9906695,40.7504515
"1524",1624,2290,2290,"METROPOLITAN OPERA","0","LINCOLN CENTER PLAZA",10023,"American","0, LINCOLN CENTER PLAZA, New York, NY",-73.9833501,40.7723961
"1525",1626,2292,2292,"SHAKE SHACK","51","ASTOR PL",10003,"Others","51, ASTOR PL, New York, NY",-73.9902571,40.7301092
"1526",1627,2293,2293,"SARAVANA BHAVAN","413","AMSTERDAM AVENUE",10024,"Others","413, AMSTERDAM AVENUE, New York, NY",-73.9777266,40.7835508
"1527",1629,2296,2296,"MCDONALD'S","1499","3RD AVE",10028,"American","1499, 3RD AVE, New York, NY",-73.9543739,40.7777103
"1528",1630,2297,2297,"CHINA WOK","454","LENOX AVENUE",10037,"Chinese","454, LENOX AVENUE, New York, NY",-73.9419358,40.8125157
"1529",1631,2299,2299,"DANISH GOURMET GRILL","721","2ND AVE",10016,"Others","721, 2ND AVE, New York, NY",-73.9740324,40.7478645
"1530",1632,2300,2300,"OLD SICHUAN CUISINE","65","BAYARD STREET",10013,"Chinese","65, BAYARD STREET, New York, NY",-73.9981078,40.7153513
"1531",1633,2301,2301,"MEZZE BAR","691","9 AVENUE",10036,"Others","691, 9 AVENUE, New York, NY",-73.9903719,40.7620672
"1532",1634,2302,2302,"THE LOEB BOATHOUSE CENTRAL PARK","0","E 72ST CENTRAL PK DRIVE NORTH",10021,"American","0, E 72ST CENTRAL PK DRIVE NORTH, New York, NY",-73.9687344,40.7753313
"1533",1636,2305,2305,"JACOB'S PICKLES","509","AMSTERDAM AVENUE",10024,"American","509, AMSTERDAM AVENUE, New York, NY",-73.9755359,40.7866273
"1534",1638,2309,2309,"TRYON PUBLIC HOUSE","4740","BROADWAY",10040,"American","4740, BROADWAY, New York, NY",-73.9277259,40.8649925
"1535",1639,2310,2310,"HAYATY","103","AVENUE A",10009,"Others","103, AVENUE A, New York, NY",-73.9838781,40.7258509
"1536",1640,2311,2311,"MADISON DELI","420","MADISON AVENUE",10017,"American","420, MADISON AVENUE, New York, NY",-73.9765061,40.7570116
"1537",1641,2312,2312,"NO. 7 SUB","1188","BROADWAY",10001,"Others","1188, BROADWAY, New York, NY",-73.9884466,40.7457233
"1538",1642,2313,2313,"ROSA MEXICANO","9","EAST   18 STREET",10003,"Others","9, EAST   18 STREET, New York, NY",-73.9907621,40.7383272
"1539",1643,2315,2315,"NUM PANG SANDWICH SHOP","75","BROAD ST",10004,"Others","75, BROAD ST, New York, NY",-74.0112304,40.7046866
"1540",1644,2318,2318,"GRILL ON THE HILL","1624","AMSTERDAM AVE",10031,"American","1624, AMSTERDAM AVE, New York, NY",-73.9501033,40.8222947
"1541",1645,2319,2319,"SUBWAY","314","WEST   58 STREET",10019,"Others","314, WEST   58 STREET, New York, NY",-73.9833497,40.7675605
"1542",1646,2320,2320,"L'ANGOLO RISTORANTE","190A","DUANE ST",10013,"Italian","190A, DUANE ST, New York, NY",-74.0105406,40.7173407
"1543",1647,2324,2324,"GRAMERCY GRILL","32","LEXINGTON AVENUE",10010,"American","32, LEXINGTON AVENUE, New York, NY",-73.984633,40.7400232
"1544",1648,2325,2325,"MIKE'S BAGELS","4003","BROADWAY",10032,"Others","4003, BROADWAY, New York, NY",-73.9398839,40.8414354
"1545",1649,2328,2328,"SUSHI PARA 88","212","W 14TH ST",10011,"Japanese","212, W 14TH ST, New York, NY",-74.000759,40.7387316
"1546",1650,2329,2329,"TEMPEST BAR","407","8 AVENUE",10001,"Others","407, 8 AVENUE, New York, NY",-73.9953761,40.7500026
"1547",1651,2330,2330,"BRAZEN FOX KITCHEN AND BAR","106","3RD AVE",10003,"American","106, 3RD AVE, New York, NY",-73.987847,40.73281
"1548",1652,2332,2332,"ILMULINO","37","EAST   60 STREET",10022,"Italian","37, EAST   60 STREET, New York, NY",-73.970195,40.764144
"1549",1653,2333,2333,"LUPE'S EAST L.A. KITCHEN","110","AVENUE OF THE AMERICAS",10013,"Others","110, AVENUE OF THE AMERICAS, New York, NY",-74.0045136,40.7236625
"1550",1654,2334,2334,"THE HEIGHTS BAR & GRILL","2867","BROADWAY",10025,"Others","2867, BROADWAY, New York, NY",-73.9663587,40.8051769
"1551",1655,2335,2335,"SWEET MOMENT","106","MOTT ST",10013,"Others","106, MOTT ST, New York, NY",-73.9970059,40.7176668
"1552",1656,2336,2336,"FRANK'S TRATTORIA","371","1 AVENUE",10010,"Others","371, 1 AVENUE, New York, NY",-73.9794517,40.736112
"1553",1657,2337,2337,"PIZZA MARKET","832","6TH AVE",10001,"Pizza","832, 6TH AVE, New York, NY",-73.9898672,40.7464452
"1554",1658,2338,2338,"LA VILLETTA","398","E 52ND ST",10022,"Italian","398, E 52ND ST, New York, NY",-73.9650348,40.754899
"1555",1659,2340,2340,"POKE JUNKE","38","W 38TH ST",10018,"Chinese","38, W 38TH ST, New York, NY",-73.9845984,40.7514935
"1556",1660,2341,2341,"ROSA MEXICANO","1063","FIRST AVENUE",10022,"Others","1063, FIRST AVENUE, New York, NY",-73.9627516,40.7589866
"1557",1662,2343,2343,"BLOOM'S TAVERN","208","EAST 58 STREET",10022,"American","208, EAST 58 STREET, New York, NY",-73.9665768,40.7605115
"1558",1663,2344,2344,"PARIS BAGUETTE","575","8TH AVE",10018,"Others","575, 8TH AVE, New York, NY",-73.9918315,40.7550522
"1559",1664,2345,2345,"LOI ESTIATORIO","132","W 58TH ST",10019,"Others","132, W 58TH ST, New York, NY",-73.9779742,40.7653771
"1560",1665,2347,2347,"ANATOLIA MEDITERRANEAN CUISINE","401","EAST   62 STREET",10065,"Others","401, EAST   62 STREET, New York, NY",-73.9601655,40.7614764
"1561",1666,2348,2348,"PARAMOUNT BAR & GRILL","235","WEST   46 STREET",10036,"American","235, WEST   46 STREET, New York, NY",-73.9873314,40.7596495
"1562",1667,2350,2350,"VALBELLA N.Y.","421","WEST   13 STREET",10014,"Italian","421, WEST   13 STREET, New York, NY",-74.0068885,40.7409181
"1563",1668,2351,2351,"INTERNATIONAL WINGS FACTORY","1762","FIRST AVENUE",10128,"American","1762, FIRST AVENUE, New York, NY",-73.9465966,40.7802574
"1564",1670,2354,2354,"GMT TAVERN","142","BLEECKER STREET",10012,"American","142, BLEECKER STREET, New York, NY",-73.9992253,40.7279984
"1565",1672,2356,2356,"INDIGO INDIAN CUISINE","357","EAST   50 STREET",10022,"Others","357, EAST   50 STREET, New York, NY",-73.9664161,40.7541985
"1566",1673,2357,2357,"SERAFINA TRIBECA","113","READE ST",10013,"Italian","113, READE ST, New York, NY",-74.0087814,40.7157635
"1567",1674,2358,2358,"2BEANS","254","PARK AVE S",10010,"Others","254, PARK AVE S, New York, NY",-73.9878238,40.7386051
"1568",1675,2361,2361,"CASITA","681","WASHINGTON ST",10014,"Others","681, WASHINGTON ST, New York, NY",-74.0083035,40.7339688
"1569",1676,2363,2363,"TOWER'S CAFE","506","LENOX AVENUE",10037,"American","506, LENOX AVENUE, New York, NY",-73.9397616,40.8141351
"1570",1677,2364,2364,"MAGURO SUSHI","160","EAST   28 STREET",10016,"Japanese","160, EAST   28 STREET, New York, NY",-73.981373,40.7420324
"1571",1678,2365,2365,"SUN SHINE SEAFOOD RESTAURANT","27","DIVISION ST",10002,"Chinese","27, DIVISION ST, New York, NY",-73.9961107,40.7139674
"1572",1679,2367,2367,"88 PALACE RESTAURANT","88","EAST BROADWAY",10002,"Chinese","88, EAST BROADWAY, New York, NY",-73.9942284,40.7139708
"1573",1680,2368,2368,"SARABETH","424","5 AVENUE",10018,"American","424, 5 AVENUE, New York, NY",-73.9832325,40.7513865
"1574",1681,2369,2369,"EL PORTON BAR & RESTAURANT","3151","BROADWAY",10027,"Others","3151, BROADWAY, New York, NY",-73.9596088,40.8145112
"1575",1682,2370,2370,"VIRGOLA","28","GREENWICH AVE",10011,"Italian","28, GREENWICH AVE, New York, NY",-73.999907,40.735177
"1576",1683,2375,2375,"OBICA MOZZARELLA BAR","928","BROADWAY",10010,"Italian","928, BROADWAY, New York, NY",-73.9891322,40.7400454
"1577",1684,2381,2381,"BOMBAY MASALA","148","WEST   49 STREET",10019,"Others","148, WEST   49 STREET, New York, NY",-73.9830831,40.7600488
"1578",1685,2382,2382,"NEW YORK UNIVERSITY - COLLEGE OF DENTISTRY","345","EAST   24 STREET",10010,"American","345, EAST   24 STREET, New York, NY",-73.9782152,40.7379477
"1579",1686,2383,2383,"RARE BAR & GRILL","303","LEXINGTON AVENUE",10016,"American","303, LEXINGTON AVENUE, New York, NY",-73.9779494,40.7484908
"1580",1687,2385,2385,"D ELICI","71","NASSAU ST",10038,"American","71, NASSAU ST, New York, NY",-74.0083249,40.7097671
"1581",1688,2386,2386,"PRET A MANGER","485","7 AVENUE",10018,"Others","485, 7 AVENUE, New York, NY",-73.9893192,40.7523587
"1582",1689,2387,2387,"DOS TOROS TAQUERIA","137","4 AVENUE",10003,"Others","137, 4 AVENUE, New York, NY",-73.9896812,40.7335742
"1583",1690,2388,2388,"PETIT POULET","52","WEST   33 STREET",10001,"Others","52, WEST   33 STREET, New York, NY",-73.9875332,40.7486859
"1584",1691,2389,2389,"CHICKY'S ON 86","355","E 86TH ST",10028,"Others","355, E 86TH ST, New York, NY",-73.94969,40.7772754
"1585",1692,2390,2390,"DR SMOOD","181","E HOUSTON ST",10002,"American","181, E HOUSTON ST, New York, NY",-73.9882001,40.7224533
"1586",1693,2391,2391,"9TEN RESTAURANT","910","7TH AVE",10019,"American","910, 7TH AVE, New York, NY",-73.9799932,40.7660886
"1587",1694,2392,2392,"MURPHY'S PUB & RESTAURANT","977","2 AVENUE",10022,"Others","977, 2 AVENUE, New York, NY",-73.9679658,40.7560299
"1588",1695,2393,2393,"PIZZERIA SIRENETTA","568","AMSTERDAM AVE",10024,"Pizza","568, AMSTERDAM AVE, New York, NY",-73.9745318,40.7887917
"1589",1696,2394,2394,"MCDONALD'S","148","WEST 125 ST",10027,"Others","148, WEST 125 ST, New York, NY",-73.9477843,40.8084532
"1590",1697,2395,2395,"CRIMINAL COURT BLDG CAFETERIA","100","CENTRE STREET",10013,"American","100, CENTRE STREET, New York, NY",-74.0009817,40.7160474
"1591",1698,2396,2396,"LUIGI'S PIZZA","2127","AMSTERDAM AVE",10032,"Pizza","2127, AMSTERDAM AVE, New York, NY",-73.9378765,40.8382073
"1592",1699,2397,2397,"WOK TO WALK","684","3RD AVE",10017,"Others","684, 3RD AVE, New York, NY",-73.9740775,40.7516428
"1593",1700,2400,2400,"STILLWATER BAR & GRILL","7880","EAST    4 STREET",10003,"American","7880, EAST    4 STREET, New York, NY",-73.9938572,40.7280157
"1594",1701,2401,2401,"DOMINO'S","1993","THIRD AVENUE",10029,"Pizza","1993, THIRD AVENUE, New York, NY",-73.9427214,40.7937262
"1595",1702,2405,2405,"TANOSHI TEI","1374","YORK AVE",10021,"Japanese","1374, YORK AVE, New York, NY",-73.95277,40.767628
"1596",1703,2406,2406,"LE POISSON ROUGE","158","BLEECKER STREET",10012,"Others","158, BLEECKER STREET, New York, NY",-74.0000523,40.7284753
"1597",1704,2407,2407,"TEREMOK","358","7TH AVE",10001,"Others","358, 7TH AVE, New York, NY",-73.9928788,40.748439
"1598",1705,2410,2410,"GREAT WALL RESTAURANT","384","GRAND ST",10002,"Chinese","384, GRAND ST, New York, NY",-73.9876401,40.7164928
"1599",1706,2411,2411,"MOTHER'S RUIN","18","SPRING STREET",10012,"American","18, SPRING STREET, New York, NY",-73.9950089,40.7213034
"1600",1707,2412,2412,"RAI RAI KEN","1467","AMSTERDAM AVE",10027,"Japanese","1467, AMSTERDAM AVE, New York, NY",-73.953125,40.817092
