LOCATION,SHELTER_ID,the_geom,AT_BETWEEN,LONGITUDE,LATITUDE
W 33 ST @ 8 AVENUE,BS4009,POINT (-73.99343 40.75152),@ 8 AVENUE,-73.99343,40.75152
ST GEORGE FERRY TERMINAL @ RICHMOND TERRACE,BS5001,POINT (-74.07513 40.64255),@ RICHMOND TERRACE,-74.07513,40.64255
FR. CAPODANNO BLVD @ SAND LANE,BS5002,POINT (-74.067 40.59038),@ SAND LANE,-74.067,40.59038
WAINWRIGHT AVE @ RICHMOND AVE,BS5003,POINT (-74.170918 40.560143),@ RICHMOND AVE,-74.170918,40.560143
RIVERDALE AV,BX0001,POINT (-73.904315 40.90657100000001),W 259 ST,-73.904315,40.906571
Henry Hudson Pkwy West,BX0002,POINT (-73.915211 40.884342),W 232 ST,-73.915211,40.884342
KAPPOCK ST,BX0003,POINT (-73.91686 40.878976),KNOLLS CRESCENT,-73.91686,40.878976
W 231 ST,BX0005,POINT (-73.905317 40.879273),BROADWAY,-73.905317,40.879273
W 230 ST,BX0007,POINT (-73.907008 40.876888),BROADWAY,-73.907008,40.876888
W 225 ST,BX0008,POINT (-73.909328 40.874493),BROADWAY,-73.909328,40.874493
BROADWAY,BX0009,POINT (-73.9092 40.874775),W 225 ST,-73.9092,40.874775
SEDGWICK AV,BX0011,POINT (-73.889061 40.882849),DICKINSON AV,-73.889061,40.882849
E GUN HILL RD,BX0012,POINT (-73.878799 40.881342),BAINBRIDGE AV,-73.878799,40.881342
E GUN HILL RD,BX0015,POINT (-73.8659 40.8771),WHITE PLAINS RD,-73.8659,40.8771
ASCH LOOP,BX0018,POINT (-73.830535 40.871234),ALCOTT PL,-73.830535,40.871234
ASCH LOOP,BX0019,POINT (-73.826309 40.870449),COOP CITY BLVD,-73.826309,40.870449
HUNTER AV,BX0020,POINT (-73.824863 40.862208),BOLLER AV,-73.824863,40.862208
Bruckner Blvd,BX0021,POINT (-73.827028 40.852433),WESTCHESTER AV,-73.827028,40.852433
Bruckner Blvd,BX0022,POINT (-73.827112 40.852171),WILKINSON AV,-73.827112,40.852171
Bruckner Blvd,BX0023,POINT (-73.82692 40.852746),WESTCHESTER AV,-73.82692,40.852746
Bruckner Blvd,BX0024,POINT (-73.827245 40.851864),WILKINSON AV,-73.827245,40.851864
CROSBY AV,BX0025,POINT (-73.832078 40.846597),WESTCHESTER AV,-73.832078,40.846597
Bruckner Blvd,BX0026,POINT (-73.826293 40.843199),JARVIS AV,-73.826293,40.843199
E TREMONT AV,BX0027,POINT (-73.828534 40.833336),BRUCKNER BLVD,-73.828534,40.833336
E TREMONT AV,BX0028,POINT (-73.827983 40.832901),BRUCKNER BLVD,-73.827983,40.832901
E TREMONT AV,BX0029,POINT (-73.825437 40.830011),LAFAYETTE AV,-73.825437,40.830011
STORY AV,BX0034,POINT (-73.86661400000001 40.823073),ROSEDALE AV,-73.866614,40.823073
Castle Hill Av,BX0035,POINT (-73.849899 40.826481),BRUCKNER BLVD,-73.849899,40.826481
Bruckner Blvd,BX0036,POINT (-73.849723 40.827698),CASTLE HILL AV,-73.849723,40.827698
Castle Hill Av,BX0037,POINT (-73.851674 40.833839),WESTCHESTER AV,-73.851674,40.833839
WESTCHESTER AV,BX0038,POINT (-73.86178 40.832906),GRANT CIRCLE,-73.86178,40.832906
METROPOLITAN AV,BX0041,POINT (-73.860708 40.838729),UNION PORT RD,-73.860708,40.838729
E TREMONT AV,BX0043,POINT (-73.85304 40.842618),CASTLE HILL AV,-73.85304,40.842618
PELHAM PKWY,BX0044,POINT (-73.844123 40.857892),EASTCHESTER RD,-73.844123,40.857892
PELHAM PKWY,BX0045,POINT (-73.861649 40.857495),BRONXWOOD AV,-73.861649,40.857495
ALLERTON AV,BX0047,POINT (-73.869997 40.865278),Bronx Park East,-73.869997,40.865278
MORRIS PARK AV,BX0048,POINT (-73.865703 40.845214),WHITE PLAINS RD,-73.865703,40.845214
E TREMONT AV,BX0049,POINT (-73.878767 40.839859),E 177 ST,-73.878767,40.839859
BOSTON RD,BX0050,POINT (-73.888383 40.836882),SOUTHERN BLVD,-73.888383,40.836882
PROSPECT AV,BX0052,POINT (-73.897773 40.829249),E 169 ST,-73.897773,40.829249
SOUTHERN BLVD,BX0053,POINT (-73.892014 40.82412600000001),WESTCHESTER AV,-73.892014,40.824126
WEBSTER AV BETWEEN E 169 ST & E 167 ST,BX0059,POINT (-73.9105 40.83),BETWEEN E 169 ST & E 167 ST,-73.9105,40.83
E 167 ST,BX0062,POINT (-73.920933 40.835512),RIVER AV,-73.920933,40.835512
E 167 ST,BX0063,POINT (-73.921583 40.835921),RIVER AV,-73.921583,40.835921
Grand Concourse,BX0064,POINT (-73.918322 40.834259),E 167 ST,-73.918322,40.834259
UNIVERSITY AV,BX0069,POINT (-73.904945 40.862962),W FORDHAM RD,-73.904945,40.862962
W KINGSBRIDGE RD,BX0072,POINT (-73.89762 40.867613),JEROME AV,-73.89762,40.867613
FORDHAM BLVD BETWEEN 190 ST & GRAND CONCOUR,BX0075,POINT (-73.8976 40.8623),BETWEEN 190 ST & GRAND CONCOUR,-73.8976,40.8623
E FORDHAM RD,BX0076,POINT (-73.897871 40.86251000000001),E 190 ST,-73.897871,40.86251
E FORDHAM RD,BX0077,POINT (-73.896531 40.862491),GRAND CONCOURSE,-73.896531,40.862491
E FORDHAM RD,BX0078,POINT (-73.895047 40.861992),TIEBOUT AV,-73.895047,40.861992
EASTCHESTER RD,BX0089,POINT (-73.846597 40.877202),BOSTON RD,-73.846597,40.877202
SOUTHERN BLVD,BX0245,POINT (-73.898014 40.81474),E 156 ST,-73.898014,40.81474
HUNTS POINT AV,BX0251,POINT (-73.887998 40.816343),COSTER ST,-73.887998,40.816343
PROSPECT AV,BX0253,POINT (-73.900372 40.822374),E 163 ST,-73.900372,40.822374
HUNTS POINT AV,BX0258,POINT (-73.886012 40.814867),SPOFFORD AV,-73.886012,40.814867
HUNTS POINT AV,BX0259,POINT (-73.889164 40.818831),SENECA AV,-73.889164,40.818831
MORRIS AV,BX0287,POINT (-73.91821 40.82583),E 161 ST,-73.91821,40.82583
Grand Concourse,BX0293,POINT (-73.911548 40.843525),MT EDEN AV EAST,-73.911548,40.843525
PROSPECT AV,BX03000,POINT (-73.901257 40.82024),WESTCHESTER AV,-73.901257,40.82024
E 149 ST,BX03001,POINT (-73.904907 40.812469),Prospect Av & Union Av,-73.904907,40.812469
E 149 ST,BX03002,POINT (-73.910427 40.813636),TRINITY AV,-73.910427,40.813636
PROSPECT AV,BX03003,POINT (-73.903648 40.814945),E 152 ST,-73.903648,40.814945
E 149 ST,BX03004,POINT (-73.91276 40.814097),ST ANN'S AV,-73.91276,40.814097
E 149 ST,BX03005,POINT (-73.90877 40.813059),JACKSON AV,-73.90877,40.813059
PROSPECT AV,BX03007,POINT (-73.898451 40.827654),HOME ST,-73.898451,40.827654
BOSTON RD,BX03008,POINT (-73.904648 40.827371),E 166 ST,-73.904648,40.827371
MORRIS AV,BX03009,POINT (-73.916238 40.829431),E 165 ST,-73.916238,40.829431
E 138 ST,BX03011,POINT (-73.924861 40.809845),ALEXANDER AV,-73.924861,40.809845
SOUTHERN BLVD,BX03013,POINT (-73.895787 40.816587000000006),LONGWOOD AV,-73.895787,40.816587
E 174 ST,BX03015,POINT (-73.875149 40.834168),HARROD AV,-73.875149,40.834168
STORY AV,BX03016,POINT (-73.86202000000002 40.823687),THIERIOT AV,-73.86202,40.823687
CROTONA AV,BX03017,POINT (-73.883847 40.853679),E 187 ST,-73.883847,40.853679
RANDALL AV,BX03018,POINT (-73.85175500000001 40.818655),OLMSTEAD AV,-73.851755,40.818655
W 170 ST,BX0302,POINT (-73.921854 40.840257),Edward L Grant Hwy,-73.921854,40.840257
RANDALL AV,BX03020,POINT (-73.862118 40.817041),TAYLOR AV,-73.862118,40.817041
Grand Concourse,BX03021,POINT (-73.903721 40.852697),E BURNSIDE AV,-73.903721,40.852697
Grand Concourse,BX03022,POINT (-73.90856 40.846733),E 175 ST,-73.90856,40.846733
Grand Concourse,BX03023,POINT (-73.90551800000001 40.849659),E TREMONT AV,-73.905518,40.849659
Grand Concourse,BX03024,POINT (-73.894881 40.865843),E KINGSBRIDGE RD,-73.894881,40.865843
E GUN HILL RD,BX03026,POINT (-73.849073 40.87173700000001),BURKE AV,-73.849073,40.871737
Williamsbridge Rd,BX03027,POINT (-73.851623 40.850436),MORRIS PARK AV,-73.851623,40.850436
BOSTON RD,BX03028,POINT (-73.833591 40.884368),BIVONA ST,-73.833591,40.884368
E 229 ST,BX03029,POINT (-73.845374 40.886219),E 229 Dr South (Edenwald Ctr),-73.845374,40.886219
DYRE AV,BX03030,POINT (-73.831424 40.887938),LIGHT ST,-73.831424,40.887938
Bronxwood Av,BX03031,POINT (-73.861313 40.869454),ADEE AV,-73.861313,40.869454
E 229 ST,BX03032,POINT (-73.842936 40.884716),SCHIEFFLEIN AV,-73.842936,40.884716
BAYCHESTER AV,BX03033,POINT (-73.847007 40.901874),E 241 ST,-73.847007,40.901874
NEREID AV,BX03034,POINT (-73.854579 40.898664),WHITE PLAINS RD,-73.854579,40.898664
E KINGSBRIDGE RD,BX03035,POINT (-73.894152 40.863826),E 192 ST,-73.894152,40.863826
E GUN HILL RD,BX03037,POINT (-73.85182 40.872831),GIVAN AV,-73.85182,40.872831
E GUN HILL RD,BX03038,POINT (-73.851401 40.872479),PEARSALL AV,-73.851401,40.872479
Throgs Neck Expwy,BX03039,POINT (-73.809831 40.819669),PRENTISS AV,-73.809831,40.819669
Bedford Park Blvd,BX03042,POINT (-73.883486 40.866898),WEBSTER AV,-73.883486,40.866898
3RD AV BETWEEN E 183 ST & E 182 ST,BX03043,POINT (-73.8911 40.8539),BETWEEN E 183 ST & E 182 ST,-73.8911,40.8539
Castle Hill Av,BX03044,POINT (-73.851667 40.834607),WESTCHESTER AV,-73.851667,40.834607
Grand Concourse,BX03045,POINT (-73.912354 40.841118),E 172 ST,-73.912354,40.841118
SOUNDVIEW AV,BX03046,POINT (-73.86604 40.821136),LAFAYETTE AV,-73.86604,40.821136
Grand Concourse,BX03047,POINT (-73.887346 40.87233),Bedford Park Blvd,-73.887346,40.87233
Bedford Park Blvd,BX03048,POINT (-73.885387 40.869926),BAINBRIDGE AV,-73.885387,40.869926
W KINGSBRIDGE RD,BX03049,POINT (-73.902971 40.868869),SEDGWICK AV,-73.902971,40.868869
BROADWAY,BX03050,POINT (-73.896754 40.90976),W 262 ST,-73.896754,40.90976
BAINBRIDGE AV,BX03051,POINT (-73.879595 40.873579),E 204 ST,-73.879595,40.873579
ALLERTON AV,BX03052,POINT (-73.86956400000001 40.865482),BARKER AV,-73.869564,40.865482
Williamsbridge Rd,BX03053,POINT (-73.857863 40.862896),MACE AV,-73.857863,40.862896
Claremont Pkwy,BX03054,POINT (-73.90142 40.838419),3 AV,-73.90142,40.838419
3 AV,BX03055,POINT (-73.905031 40.832972),E 169 ST,-73.905031,40.832972
MORRIS AV,BX03057,POINT (-73.916617 40.829117),E 165 ST,-73.916617,40.829117
NEREID AV,BX03059,POINT (-73.85405000000002 40.898452),WHITE PLAINS RD,-73.85405,40.898452
UNIVERSITY AV,BX0306,POINT (-73.9155 40.850188),W TREMONT AV,-73.9155,40.850188
E 225 ST,BX03060,POINT (-73.84889 40.88400000000001),LACONIA AV,-73.84889,40.884
Grand Concourse,BX03061,POINT (-73.922704 40.826384),E 161 ST,-73.922704,40.826384
W BURNSIDE AV,BX03062,POINT (-73.914383 40.853788),LORING PL SOUTH,-73.914383,40.853788
KATONAH AV,BX03063,POINT (-73.8675 40.8987),E 237 ST,-73.8675,40.8987
UNIVERSITY AV,BX03064,POINT (-73.910233 40.8563),Hall Of Fame Terrace,-73.910233,40.8563
UNIVERSITY AV,BX03065,POINT (-73.911226 40.854627),W BURNSIDE AV,-73.911226,40.854627
SEDGWICK AV,BX03066,POINT (-73.918663 40.852757),W TREMONT AV,-73.918663,40.852757
UNIVERSITY AV,BX03068,POINT (-73.912345 40.853382),W BURNSIDE AV,-73.912345,40.853382
W 225 ST,BX03069,POINT (-73.909302 40.874178),BROADWAY,-73.909302,40.874178
EASTCHESTER RD,BX03070,POINT (-73.843548 40.862481),MACE AV,-73.843548,40.862481
EASTCHESTER RD,BX03071,POINT (-73.843297 40.863051),MACE AV,-73.843297,40.863051
BOSTON RD,BX03072,POINT (-73.8315 40.884577),STEENWICK AV,-73.8315,40.884577
E 241 ST,BX03074,POINT (-73.849627 40.903194),FURMAN AV,-73.849627,40.903194
E 233 ST,BX03075,POINT (-73.848548 40.890481),PAULDING AV,-73.848548,40.890481
E 233 ST,BX03076,POINT (-73.866469 40.895917),KATONAH AV,-73.866469,40.895917
3 AV,BX03077,POINT (-73.914368 40.818755),E 154 ST,-73.914368,40.818755
BAINBRIDGE AV,BX03078,POINT (-73.882629 40.871993),Mosholu Pkwy South,-73.882629,40.871993
SOUTHERN BLVD,BX03079,POINT (-73.893741 40.81856),TIFFANY ST,-73.893741,40.81856
Grand Concourse,BX03082,POINT (-73.923102 40.826363),E 161 ST,-73.923102,40.826363
E FORDHAM RD,BX03083,POINT (-73.889854 40.860749),3 AV,-73.889854,40.860749
3 AV,BX03084,POINT (-73.890617 40.86052),E FORDHAM RD,-73.890617,40.86052
3 AV,BX03085,POINT (-73.913426 40.819839),E 156 ST,-73.913426,40.819839
ROPES AV,BX03086,POINT (-73.819542 40.889883),BOSTON RD,-73.819542,40.889883
E 138 ST,BX03087,POINT (-73.914278 40.805358),CYPRESS AV,-73.914278,40.805358
PROSPECT AV,BX03089,POINT (-73.904233 40.812553),E 149 ST,-73.904233,40.812553
Grand Concourse,BX0309,POINT (-73.903581 40.852055),E BURNSIDE AV,-73.903581,40.852055
3 AV,BX03090,POINT (-73.914202 40.818642),E 153 ST,-73.914202,40.818642
E 233 ST,BX03091,POINT (-73.870656 40.896527),KEPLER AV,-73.870656,40.896527
E 233 ST,BX03093,POINT (-73.87493200000002 40.895621),NAPIER AV,-73.874932,40.895621
BOSTON RD,BX03096,POINT (-73.896687 40.833488),PROSPECT AV,-73.896687,40.833488
Concourse Village East,BX03098,POINT (-73.918719 40.825306),E 161 ST,-73.918719,40.825306
WESTCHESTER AV,BX03099,POINT (-73.830545 40.849369),ST THERESA AV,-73.830545,40.849369
EASTCHESTER RD,BX03100,POINT (-73.842471 40.868899),E GUN HILL RD,-73.842471,40.868899
PELHAM PKWY,BX03101,POINT (-73.851548 40.858033),THROOP AV,-73.851548,40.858033
EASTCHESTER RD,BX03102,POINT (-73.844001 40.856869),Pelham Pkwy South,-73.844001,40.856869
E 138 ST,BX03103,POINT (-73.923201 40.809357),WILLIS AV,-73.923201,40.809357
E 138 ST,BX03104,POINT (-73.922595 40.808883),WILLIS AV,-73.922595,40.808883
3 AV,BX03105,POINT (-73.916302 40.81681),WESTCHESTER AV,-73.916302,40.81681
SOUTHERN BLVD,BX03108,POINT (-73.881591 40.853189),E 187 ST,-73.881591,40.853189
Castle Hill Av,BX03111,POINT (-73.850974 40.832214),GLEASON AV,-73.850974,40.832214
SOUNDVIEW AV,BX03113,POINT (-73.857792 40.813578),PATTERSON AV,-73.857792,40.813578
CITY ISLAND AV,BX03114,POINT (-73.783412 40.839283),ROCHELLE ST,-73.783412,40.839283
CITY ISLAND AV,BX03115,POINT (-73.786455 40.847452),FORDHAM ST,-73.786455,40.847452
BAYCHESTER AV,BX03116,POINT (-73.832418 40.870294),ALDRICH ST,-73.832418,40.870294
Dreiser Loop West,BX03117,POINT (-73.829676 40.877874),COOP CITY BLVD,-73.829676,40.877874
ALLERTON AV,BX03118,POINT (-73.86704400000002 40.865343),WHITE PLAINS RD,-73.867044,40.865343
MORRIS PARK AV,BX03119,POINT (-73.85153 40.850111),WILLIAMSBRIDGE RD,-73.85153,40.850111
Bronxwood Av,BX03120,POINT (-73.861248 40.871579),BURKE AV,-73.861248,40.871579
E 233 ST,BX03121,POINT (-73.861019 40.894434),BRONX BLVD,-73.861019,40.894434
W 231 ST,BX03122,POINT (-73.908602 40.881048),TIBBETT AV,-73.908602,40.881048
Henry Hudson Pkwy East,BX03123,POINT (-73.90789700000002 40.893903),W 246 ST,-73.907897,40.893903
EARHART LANE,BX03124,POINT (-73.822652 40.861336),ERSKINE PL,-73.822652,40.861336
E BURNSIDE AV,BX03125,POINT (-73.907038 40.853609),JEROME AV,-73.907038,40.853609
BAINBRIDGE AV,BX03130,POINT (-73.879171 40.879379),E 210 ST,-73.879171,40.879379
PUGSLEY AV,BX03131,POINT (-73.854139 40.818652),RANDALL AV,-73.854139,40.818652
E 174 ST,BX03132,POINT (-73.877039 40.83374),MANOR AV,-73.877039,40.83374
RANDALL AV,BX03133,POINT (-73.865314 40.816615),ROSEDALE AV,-73.865314,40.816615
RANDALL AV,BX03134,POINT (-73.862398 40.817163),TAYLOR AV,-73.862398,40.817163
E TREMONT AV,BX03135,POINT (-73.892457 40.845973),ARTHUR AV,-73.892457,40.845973
Williamsbridge Rd,BX03136,POINT (-73.858062 40.862782),MACE AV,-73.858062,40.862782
NEREID AV,BX03137,POINT (-73.854704 40.898502),WHITE PLAINS RD,-73.854704,40.898502
E 149 ST,BX03139,POINT (-73.913439 40.814536),ST ANN'S AV,-73.913439,40.814536
E 138 ST,BX03140,POINT (-73.912975 40.805011),JACKSON AV,-73.912975,40.805011
E 138 ST,BX03141,POINT (-73.913049 40.804847),JACKSON AV,-73.913049,40.804847
E 161 ST,BX03142,POINT (-73.918236 40.825388),Concourse Village East,-73.918236,40.825388
E 149 ST,BX03143,POINT (-73.910293 40.813379),TRINITY AV,-73.910293,40.813379
E 149 ST,BX03144,POINT (-73.906951 40.812692),WALES AV,-73.906951,40.812692
UNION PORT RD,BX03146,POINT (-73.856329 40.836043000000004),STARLING AV,-73.856329,40.836043
UNION PORT RD,BX03147,POINT (-73.86317 40.841131),E TREMONT AV,-73.86317,40.841131
UNION PORT RD,BX03148,POINT (-73.861875 40.839433),Metropolitan Oval,-73.861875,40.839433
W FORDHAM RD,BX03149,POINT (-73.908585 40.862897),SEDGWICK AV,-73.908585,40.862897
WEBSTER AV,BX03150,POINT (-73.907093 40.836494),E 170 ST,-73.907093,40.836494
WEBSTER AV,BX03151,POINT (-73.908391 40.834202),E 169 ST,-73.908391,40.834202
MORRIS AV,BX03153,POINT (-73.924033 40.815219),E 143 ST,-73.924033,40.815219
MORRIS AV,BX03154,POINT (-73.925757 40.812823),E 138 ST & E 140 ST,-73.925757,40.812823
E 149 ST,BX03155,POINT (-73.923121 40.817602),MORRIS AV,-73.923121,40.817602
BOSTON RD,BX03157,POINT (-73.849473 40.876151),SEYMOUR AV,-73.849473,40.876151
E 163 ST,BX03158,POINT (-73.893158 40.82107),SIMPSON ST,-73.893158,40.82107
E 163 ST,BX03159,POINT (-73.893598 40.82087500000001),FOX ST,-73.893598,40.820875
HUNTS POINT AV,BX03160,POINT (-73.887088 40.815905),FAILE ST,-73.887088,40.815905
MORRIS AV,BX03162,POINT (-73.921232 40.820479),E 153 ST & E 154 ST,-73.921232,40.820479
WILLIS AV,BX03163,POINT (-73.922861 40.808896),E 138 ST,-73.922861,40.808896
WILLIS AV,BX03164,POINT (-73.919862 40.813052),E 144 ST,-73.919862,40.813052
WILLIS AV,BX03165,POINT (-73.920392 40.81275),E 144 ST,-73.920392,40.81275
WILLIS AV,BX03166,POINT (-73.922884 40.809344),E 138 ST,-73.922884,40.809344
BAINBRIDGE AV,BX03167,POINT (-73.878746 40.880678),E GUN HILL RD,-73.878746,40.880678
E 163 ST,BX03169,POINT (-73.909008 40.82406),3 AV,-73.909008,40.82406
Claremont Pkwy,BX03171,POINT (-73.897518 40.836625),CROTONA AV,-73.897518,40.836625
Claremont Pkwy,BX03172,POINT (-73.902935 40.839078),WASHINGTON AV,-73.902935,40.839078
Claremont Pkwy,BX03173,POINT (-73.902357 40.838623),WASHINGTON AV,-73.902357,40.838623
E 174 ST,BX03174,POINT (-73.883724 40.83609),BOONE AV,-73.883724,40.83609
Dreiser Loop East,BX03175,POINT (-73.828249 40.878003),COOP CITY BLVD,-73.828249,40.878003
RIVERDALE AV,BX03177,POINT (-73.907633 40.887989),W 238 ST,-73.907633,40.887989
RIVERDALE AV,BX03178,POINT (-73.906948 40.886861),W 236 ST,-73.906948,40.886861
Grand Concourse,BX0318,POINT (-73.904864 40.851268),E 179 ST,-73.904864,40.851268
PROSPECT AV,BX03180,POINT (-73.90002100000001 40.823862),E 165 ST,-73.900021,40.823862
EASTCHESTER RD,BX03181,POINT (-73.843592 40.854883),SEMINOLE ST,-73.843592,40.854883
EASTCHESTER RD,BX03182,POINT (-73.842918 40.859814),ASTOR AV,-73.842918,40.859814
MORRIS PARK AV,BX03183,POINT (-73.851768 40.850242),WILLIAMSBRIDGE RD,-73.851768,40.850242
CROTONA AV,BX03184,POINT (-73.897642 40.836287),CLAREMONT PKWY,-73.897642,40.836287
FRANKLIN AV,BX03186,POINT (-73.903472 40.83051),E 168 ST,-73.903472,40.83051
BAINBRIDGE AV,BX03187,POINT (-73.87770800000001 40.886755),JEROME AV,-73.877708,40.886755
MORRIS PARK AV,BX03188,POINT (-73.867471 40.844844),UNION PORT RD,-73.867471,40.844844
MORRIS PARK AV,BX03189,POINT (-73.862942 40.845989),BARNES AV,-73.862942,40.845989
MORRIS PARK AV,BX03190,POINT (-73.857428 40.84769200000001),RADCLIFF AV,-73.857428,40.847692
Pelham Pkwy North,BX03192,POINT (-73.867257 40.857362),WHITE PLAINS RD,-73.867257,40.857362
EASTCHESTER RD,BX03193,POINT (-73.843699 40.854207),SEMINOLE ST,-73.843699,40.854207
ALLERTON AV,BX03194,POINT (-73.853607 40.865299),HERING AV,-73.853607,40.865299
ALLERTON AV,BX03195,POINT (-73.860153 40.865624),WILLIAMSBRIDGE RD,-73.860153,40.865624
ALLERTON AV,BX03196,POINT (-73.861874 40.865642),BOSTON RD,-73.861874,40.865642
ALLERTON AV,BX03197,POINT (-73.867769 40.865521),WHITE PLAINS RD,-73.867769,40.865521
WHITE PLAINS RD,BX03199,POINT (-73.86695 40.847143),Rhinelander Av,-73.86695,40.847143
Williamsbridge Rd,BX03200,POINT (-73.844517 40.842439),E TREMONT AV,-73.844517,40.842439
Pelham Pkwy North,BX03201,POINT (-73.84633 40.858143),SEYMOUR AV,-73.84633,40.858143
Pelham Pkwy North,BX03202,POINT (-73.856977 40.857603),WILLIAMSBRIDGE RD,-73.856977,40.857603
WEST FARMS RD,BX03203,POINT (-73.891469 40.825224),WESTCHESTER AV,-73.891469,40.825224
Pelham Pkwy South,BX03204,POINT (-73.86180700000001 40.856864),MULINER AV,-73.861807,40.856864
BOSTON RD,BX03207,POINT (-73.840869 40.88035),ELY AV,-73.840869,40.88035
E GUN HILL RD,BX03208,POINT (-73.84503 40.869959),KNAPP ST,-73.84503,40.869959
ALLERTON AV,BX03209,POINT (-73.862914 40.865622),MATHEWS AV,-73.862914,40.865622
BAYCHESTER AV,BX03210,POINT (-73.844905 40.89651),PITMAN AV,-73.844905,40.89651
E GUN HILL RD,BX03212,POINT (-73.848266 40.871634),BURKE AV,-73.848266,40.871634
E GUN HILL RD,BX03213,POINT (-73.862431 40.875994),BARNES AV,-73.862431,40.875994
E 233 ST,BX03216,POINT (-73.856919 40.893148),WHITE PLAINS RD,-73.856919,40.893148
BOSTON RD,BX03217,POINT (-73.840994 40.880546),GRACE AV,-73.840994,40.880546
BOSTON RD,BX03219,POINT (-73.842444 40.879747),BRUNER AV,-73.842444,40.879747
Grand Concourse,BX03221,POINT (-73.897879 40.860527),E 187 ST,-73.897879,40.860527
DYRE AV,BX03222,POINT (-73.831219 40.884966),BOSTON RD,-73.831219,40.884966
EASTCHESTER RD,BX03223,POINT (-73.84612 40.876313),BOSTON RD,-73.84612,40.876313
E 229 ST,BX03224,POINT (-73.847023 40.88675),LACONIA AV,-73.847023,40.88675
SOUTHERN BLVD,BX03225,POINT (-73.883152 40.847611),Bronx Park South,-73.883152,40.847611
Grand Concourse,BX03226,POINT (-73.901267 40.8558),E 182 ST,-73.901267,40.8558
Grand Concourse,BX03227,POINT (-73.902407 40.854319),E 181 ST,-73.902407,40.854319
Grand Concourse,BX03228,POINT (-73.902245 40.853719),E 180 ST,-73.902245,40.853719
Grand Concourse,BX03229,POINT (-73.90031 40.856312),E 182 ST,-73.90031,40.856312
W TREMONT AV,BX03230,POINT (-73.916683 40.851857),MONTGOMERY AV,-73.916683,40.851857
WEBSTER AV,BX03231,POINT (-73.8965 40.855063),E 182 ST,-73.8965,40.855063
W FORDHAM RD,BX03232,POINT (-73.904024 40.862655),Grand Av & University Av,-73.904024,40.862655
UNIVERSITY AV,BX03233,POINT (-73.920594 40.847057),W 174 ST,-73.920594,40.847057
MACOMBS ROAD,BX03234,POINT (-73.916287 40.848516),W 175 ST,-73.916287,40.848516
W KINGSBRIDGE RD,BX03236,POINT (-73.90163 40.868536),UNIVERSITY AV,-73.90163,40.868536
W KINGSBRIDGE RD,BX03237,POINT (-73.901474 40.868276),UNIVERSITY AV,-73.901474,40.868276
UNIVERSITY AV,BX03238,POINT (-73.90306 40.865486),W 190 ST,-73.90306,40.865486
UNDERCLIFF AV,BX03241,POINT (-73.921551 40.849777),W 176 ST,-73.921551,40.849777
W 238 ST,BX03244,POINT (-73.89828 40.884094),BAILEY AV,-73.89828,40.884094
RIVERDALE AV,BX03246,POINT (-73.903321 40.910344),W 261 ST,-73.903321,40.910344
RIVERDALE AV,BX03247,POINT (-73.90712300000001 40.886299),W 236 ST & W 235 ST,-73.907123,40.886299
MORRIS PARK AV,BX03249,POINT (-73.859677 40.846456),BRONXDALE AV,-73.859677,40.846456
UNIVERSITY AV,BX0325,POINT (-73.917252 40.84898),W 176 ST,-73.917252,40.84898
BOSTON RD,BX03251,POINT (-73.833141 40.884237),BIVONA ST,-73.833141,40.884237
Hutchinson River Pkwy,BX03252,POINT (-73.823678 40.86558),Einstein Loop North,-73.823678,40.86558
EDGEWATER PARK,BX03254,POINT (-73.810954 40.822596),Edgewater Park Oval,-73.810954,40.822596
COOP CITY BLVD,BX03255,POINT (-73.825867 40.87940700000001),CARVER LOOP,-73.825867,40.879407
DREISER LOOP,BX03256,POINT (-73.829147 40.875784),DEKRUIF PL,-73.829147,40.875784
Dreiser Loop South,BX03258,POINT (-73.82926600000002 40.875818),DEFOE PL,-73.829266,40.875818
KAPPOCK ST,BX03259,POINT (-73.918014 40.877473),JOHNSON AV,-73.918014,40.877473
Grand Concourse,BX03260,POINT (-73.890867 40.870506),MINERVA PL,-73.890867,40.870506
DYRE AV,BX03261,POINT (-73.831159 40.888133),LIGHT ST,-73.831159,40.888133
E 180 ST,BX03262,POINT (-73.87852900000001 40.842938),BOSTON RD,-73.878529,40.842938
COOP CITY BLVD,BX03264,POINT (-73.824795 40.879412),CARVER LOOP,-73.824795,40.879412
Castle Hill Av,BX03265,POINT (-73.847935 40.81934),RANDALL AV,-73.847935,40.81934
E FORDHAM RD,BX03266,POINT (-73.896269 40.862233),VALENTINE AV,-73.896269,40.862233
SEDGWICK AV,BX03267,POINT (-73.901989 40.872673),W 197 ST,-73.901989,40.872673
SOUTHERN BLVD,BX03269,POINT (-73.884493 40.84621),E 180 ST,-73.884493,40.84621
BROADWAY,BX03271,POINT (-73.906691 40.876487),EXTERIOR ST,-73.906691,40.876487
W BURNSIDE AV,BX03274,POINT (-73.912803 40.853841),UNIVERSITY AV,-73.912803,40.853841
WHITE PLAINS RD,BX03275,POINT (-73.866137 40.844891),MORRIS PARK AV,-73.866137,40.844891
METROPOLITAN OVAL,BX03276,POINT (-73.859466 40.838717),METROPOLITAN AV,-73.859466,40.838717
ASCH LOOP,BX03277,POINT (-73.830285 40.871505),ALCOTT PL,-73.830285,40.871505
