"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"57","CLUB DEPORTIVO DOMINICANO OF NEW YORK INC","","2088 AMSTERDAM AVENUE","163RD & 164TH STREETS","NEW YORK","NY",10032,40.83675388,-73.93930273,"(40.83675388, -73.93930273)"
"58","CITIZENS ARTS CLUB INC","NORWOOD","241 W 14TH STREET","7TH AVENUE & 8TH AVENUE","NEW YORK","NY",10011,40.73911163,-74.00079813,"(40.73911163, -74.00079813)"
"59","SYRACUSE UNIVERSITY","","11 E 61ST ST","MADISON & 5TH AVENUES","NEW YORK","NY",10065,40.76524092,-73.97132158,"(40.76524092, -73.97132158)"
"60","FIFTEEN CENTRAL PARK WEST CLUB INC","","15 CENTRAL PARK WEST","","NEW YORK","NY",10023,40.76944596,-73.98096493,"(40.76944596, -73.98096493)"
"61","69TH INFANTRY OFFICERS CLUB INC","","68 LEXINGTON AVENUE","1ST FLOOR","NEW YORK","NY",10010,40.74106161,-73.98360934,"(40.74106161, -73.98360934)"
"62","PLAYERS INC, THE","THE PLAYERS","16 GRAMERCY PARK","","NEW YORK","NY",10003,40.7377055,-73.98644126,"(40.7377055, -73.98644126)"
"63","EXPLORERS CLUB, THE","THE EXPLORERS CLUB","46 E 70TH ST","","NEW YORK","NY",10021,40.77024126,-73.96601475,"(40.77024126, -73.96601475)"
"64","ANGLERS CLUB OF NEW YORK, THE","","101 BROAD ST FL 2","","NEW YORK","NY",10004,40.70350367,-74.01153665,"(40.70350367, -74.01153665)"
"65","SPANISH BENEVOLENT SOCIETY INC","","239 W 14TH ST","1ST FLOOR","NEW YORK","NY",10011,40.73903868,-74.00077599,"(40.73903868, -74.00077599)"
"66","GOLF & BODY NYC LLC","","883 6TH AVE","3RD FL & 4TH FLOOR / MEZZANINE","NEW YORK","NY",10001,40.74825553,-73.98888304,"(40.74825553, -73.98888304)"
"67","SOHO-LUDLOW INC","LUDLOW HOUSE/LIVING ROOM","139 LUDLOW ST","","NEW YORK","NY",10002,40.72041297,-73.98816681,"(40.72041297, -73.98816681)"
"68","AMERICAN YOUTH HOSTELS INC","","891 AMSTERDAM AVE","","NEW YORK","NY",10025,40.79889,-73.96674,"(40.79889, -73.96674)"
"69","ALLIANCE FOR DOWNTOWN NEW YORK INC","LMHQ","150 BROADWAY","20TH FL","NEW YORK","NY",10038,40.70927,-74.01027,"(40.70927, -74.01027)"
"70","56TH STREET DINING CLUB INC","","432 PARK AVE","","NEW YORK","NY",10022,40.74422,-73.98365,"(40.74422, -73.98365)"
"71","STUDIO 466 INC","","466 LEXINGTON AVE","3RD FLOOR","NEW YORK","NY",10017,40.75374,-73.97456,"(40.75374, -73.97456)"
"72","SAINT ANDREW'S SOCIETY OF THE STATE OF NEW YORK","","150 E 55TH ST","3RD FL","NEW YORK","NY",10022,40.75921,-73.96938,"(40.75921, -73.96938)"
"73","21 WEST END ASSOCIATION INC","CAFE 21","21 WEST END AVE","","NEW YORK","NY",10023,40.77226,-73.98998,"(40.77226, -73.98998)"
