"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"164","HEIDI'S HOUSE LLC","ED'S ELBOW ROOM","308 E 78TH ST - STORE#3","STORE 3","NEW YORK","NY",10075,40.77229,-73.95494,"(40.77229, -73.95494)"
"165","2BEANS INC","","817 AVENUE OF THE AMERICAS","","NEW YORK","NY",10001,40.74615,-73.99051,"(40.74615, -73.99051)"
"166","RANGE NYC LLC, THE","FIVE IRON GOLF","138 5TH AVE","","NEW YORK","NY",10011,40.73898,-73.99166,"(40.73898, -73.99166)"
"167","SNACKBOX NYC LLC","SNACKBOX","BROADWAY BETWEEN 46TH&47TH ST","CONCESSION","NEW YORK","NY",10036,0,0,"(0.0, 0.0)"
"168","FDOTG LLC","FRANKIE'S DOGS ON THE GO","23 VANDERBILT AVE -SPACE# K-03","","NEW YORK","NY",10017,0,0,"(0.0, 0.0)"
"169","97 COFFEE & WINE LLC","","24 E 97TH ST","","NEW YORK","NY",10029,40.78793,-73.95397,"(40.78793, -73.95397)"
"170","BESTE BAT LLC","LENA","135 137 ELDRIDGE ST","","NEW YORK","NY",10002,0,0,"(0.0, 0.0)"
"171","REGAL GOURMET DELI INC","","201 W 14TH ST","","NEW YORK","NY",10011,40.73878,-73.99977,"(40.73878, -73.99977)"
"172","WEST 3RD STREET COFFEE CORP","IRVING FARM COFFEE ROASTERS","78 W 3RD ST","","NEW YORK","NY",10012,40.72967,-73.99878,"(40.72967, -73.99878)"
"173","TANNAT WINE & CHEESE LLC","","4736 BROADWAY","","NEW YORK","NY",10040,40.86499,-73.92814,"(40.86499, -73.92814)"
"174","TEAMWORKON3 LLC","","2007 LEXINGTON AVE","","NEW YORK","NY",10035,40.80247,-73.93862,"(40.80247, -73.93862)"
"175","GALLERY SENSEI LLC","SENSEI","135 ELDRIDGE ST","","NEW YORK","NY",10002,40.71907,-73.99162,"(40.71907, -73.99162)"
"176","1 PIKE CORP","","1 PIKE ST","STORE B,C","NEW YORK","NY",10002,40.71423,-73.9924,"(40.71423, -73.9924)"
"177","FEDERICOS RESTAURANT INC","TOLOACHE","00 BROADWAY PLAZA","BWTN 42ND AND 43RD ST","NEW YORK","NY",10036,0,0,"(0.0, 0.0)"
"178","GVI TRIBECA LLC","VIN SUR VINGT","66 WEST BROADWAY","STORE 7","NEW YORK","NY",10007,40.71466,-74.01009,"(40.71466, -74.01009)"
"179","ANGEL NYC INC","RABBIT CLUB","124 MACDOUGAL ST","BASEMENT NORTH","NEW YORK","NY",10012,40.72998,-74.00039,"(40.72998, -74.00039)"
"180","ROSE&BASIL LLC","ROSE & BASIL","104 E 7TH ST","","NEW YORK","NY",10009,40.72654,-73.98494,"(40.72654, -73.98494)"
"181","62 CARMINE CORP","CODINO","62 CARMINE ST","","NEW YORK","NY",10014,40.72969,-74.00412,"(40.72969, -74.00412)"
"182","MOIRA JUNE CARINGAL INC","ROOM 1705","1705 1ST AVE","","NEW YORK","NY",10128,40.77855,-73.94839,"(40.77855, -73.94839)"
"183","RINCONCITO BILLARD CLUB INC","","1846 AMSTERDAM AVE","","NEW YORK","NY",10031,40.82933,-73.94484,"(40.82933, -73.94484)"
"184","STORE 2 BABETH'S FEAST LLC","BABETH'S FEAST","309 AMSTERDAM AVE","","NEW YORK","NY",10023,40.78016,-73.98029,"(40.78016, -73.98029)"
"185","CK 14 TO GO LLC","THE RED HEN","235 W 14TH ST","","NEW YORK","NY",10011,40.73933,-74.00109,"(40.73933, -74.00109)"
"186","MAMA'S PIZZA TOO LLC","","2750 BROADWAY","","NEW YORK","NY",10025,40.80083,-73.96766,"(40.80083, -73.96766)"
"187","TD AB LLC","29B","29 AVENUE B","STORE 2","NEW YORK","NY",10009,40.72248,-73.98297,"(40.72248, -73.98297)"
"188","BKUK 1 CORPORATION","PECORINO PIZZERIA","197 7TH AVE","STORE #2","NEW YORK","NY",10011,40.74304,-73.99619,"(40.74304, -73.99619)"
"189","FT 328 LLC","BAR VELOCE","328 W 12TH ST","","NEW YORK","NY",10014,40.73746,-74.00661,"(40.73746, -74.00661)"
"190","AAA PIZZA CORP","LITTLE ITALY PIZZA","11 PARK PL, STORE A","STORE A","NEW YORK","NY",10007,40.713,-74.00834,"(40.713, -74.00834)"
"191","SUSHI ON WEST 10TH LLC","SUSHI ON JONES","210 W 10TH ST","UNIT 2","NEW YORK","NY",10014,40.73399,-74.00418,"(40.73399, -74.00418)"
"192","AVOCADO APPETIT INC","AVOCADO APPETIT BAR & CAFE","112 ELDRIDGE ST","NORTH STORE","NEW YORK","NY",10002,40.71816,-73.99186,"(40.71816, -73.99186)"
